T,Vf,Im,Vu,Sig,Ach,IERange,Over,Temp
8.576,1.00075,0.00745341,0.0,0.99935,0.00166667,12,...........,-327.67
8.578,0.999858,0.00722831,0.0,0.99835,0.00165,12,...........,-327.67
8.58,0.99895,0.00706157,0.0,0.99735,0.00168333,12,...........,-327.67
8.582,0.997679,0.00698236,0.0,0.99635,0.00160833,12,...........,-327.67
8.584,0.997,0.00680312,0.0,0.99535,0.00169167,12,...........,-327.67
8.586,0.995825,0.00675726,0.0,0.99435,0.00169167,12,...........,-327.67
8.588,0.994925,0.00666138,0.0,0.99335,0.001675,12,...........,-327.67
8.59,0.994,0.00652799,0.0,0.99235,0.00161667,12,...........,-327.67
8.592,0.99275,0.00645712,0.0,0.99135,0.00166667,12,...........,-327.67
8.594,0.991871,0.0063279,0.0,0.99035,0.00168333,12,...........,-327.67
8.596,0.99095,0.00624036,0.0,0.98935,0.00165,12,...........,-327.67
8.598,0.989575,0.00622368,0.0,0.98835,0.00161667,12,...........,-327.67
8.6,0.988892,0.00616115,0.0,0.98735,0.00170833,12,...........,-327.67
8.602,0.987917,0.00607361,0.0,0.98635,0.00165,12,...........,-327.67
8.604,0.9864,0.00603193,0.0,0.98535,0.00163333,12,...........,-327.67
8.606,0.98615,0.00594439,0.0,0.98435,0.00168333,12,...........,-327.67
8.608,0.984812,0.00586936,0.0,0.98335,0.00169167,12,...........,-327.67
8.61,0.983854,0.00583184,0.0,0.98235,0.00166667,12,...........,-327.67
8.612,0.982933,0.00576931,0.0,0.98135,0.00166667,12,...........,-327.67
8.614,0.981858,0.00571095,0.0,0.98035,0.00164167,12,...........,-327.67
8.616,0.980887,0.00568177,0.0,0.97935,0.00165833,12,...........,-327.67
8.618,0.9799,0.00561507,0.0,0.97835,0.00166667,12,...........,-327.67
8.62,0.97895,0.00554837,0.0,0.97735,0.00165833,12,...........,-327.67
8.622,0.977992,0.00554004,0.0,0.97635,0.00165,12,...........,-327.67
8.624,0.976783,0.00545667,0.0,0.97535,0.00171667,12,...........,-327.67
8.626,0.975808,0.00540664,0.0,0.97435,0.00161667,12,...........,-327.67
8.628,0.97495,0.00533161,0.0,0.97335,0.001675,12,...........,-327.67
8.63,0.973862,0.00528159,0.0,0.97235,0.00168333,12,...........,-327.67
8.632,0.973017,0.00525241,0.0,0.97135,0.00168333,12,...........,-327.67
8.634,0.971858,0.0052399,0.0,0.97035,0.00168333,12,...........,-327.67
8.636,0.970917,0.00518988,0.0,0.96935,0.001625,12,...........,-327.67
8.638,0.970075,0.00512318,0.0,0.96835,0.00170833,12,...........,-327.67
8.64,0.968717,0.00510651,0.0,0.96735,0.00160833,12,...........,-327.67
8.642,0.967825,0.00505231,0.0,0.96635,0.00166667,12,...........,-327.67
8.644,0.96695,0.00498562,0.0,0.96535,0.00165833,12,...........,-327.67
8.646,0.965554,0.00498145,0.0,0.96435,0.00165,12,...........,-327.67
8.648,0.964871,0.00494393,0.0,0.96335,0.00163333,12,...........,-327.67
8.65,0.963892,0.00486473,0.0,0.96235,0.001675,12,...........,-327.67
8.652,0.962829,0.00483138,0.0,0.96135,0.00165,12,...........,-327.67
8.654,0.961921,0.00483972,0.0,0.96035,0.00165,12,...........,-327.67
8.656,0.960763,0.00476885,0.0,0.95935,0.00164167,12,...........,-327.67
8.658,0.959921,0.00476468,0.0,0.95835,0.00166667,12,...........,-327.67
8.66,0.958958,0.00466464,0.0,0.95735,0.00164167,12,...........,-327.67
8.662,0.957879,0.00464796,0.0,0.95635,0.00165833,12,...........,-327.67
8.664,0.956917,0.00463962,0.0,0.95535,0.00171667,12,...........,-327.67
8.666,0.955871,0.00461461,0.0,0.95435,0.00160833,12,...........,-327.67
8.668,0.95495,0.00456042,0.0,0.95335,0.00169167,12,...........,-327.67
8.67,0.954017,0.00457293,0.0,0.95235,0.00165,12,...........,-327.67
8.672,0.952779,0.00450206,0.0,0.95135,0.0016,12,...........,-327.67
8.674,0.951871,0.0045104,0.0,0.95035,0.001675,12,...........,-327.67
8.676,0.95095,0.00445204,0.0,0.94935,0.00166667,12,...........,-327.67
8.678,0.949696,0.00441452,0.0,0.94835,0.00168333,12,...........,-327.67
8.68,0.948958,0.00438117,0.0,0.94735,0.00165,12,...........,-327.67
8.682,0.947846,0.00436867,0.0,0.94635,0.00165833,12,...........,-327.67
8.684,0.946929,0.00434366,0.0,0.94535,0.00165833,12,...........,-327.67
8.686,0.946058,0.00430197,0.0,0.94435,0.001625,12,...........,-327.67
8.688,0.944758,0.00424361,0.0,0.94335,0.00169167,12,...........,-327.67
8.69,0.943842,0.00425612,0.0,0.94235,0.00168333,12,...........,-327.67
8.692,0.94295,0.00420609,0.0,0.94135,0.00166667,12,...........,-327.67
8.694,0.941575,0.00422694,0.0,0.94035,0.00168333,12,...........,-327.67
8.696,0.940908,0.00418525,0.0,0.93935,0.00168333,12,...........,-327.67
8.698,0.939817,0.00415607,0.0,0.93835,0.00169167,12,...........,-327.67
8.7,0.938925,0.00413523,0.0,0.93735,0.00170833,12,...........,-327.67
8.702,0.938112,0.00409771,0.0,0.93635,0.001675,12,...........,-327.67
8.704,0.936767,0.00404769,0.0,0.93535,0.00169167,12,...........,-327.67
8.706,0.935817,0.00404769,0.0,0.93435,0.00165833,12,...........,-327.67
8.708,0.934983,0.00402268,0.0,0.93335,0.00164167,12,...........,-327.67
8.71,0.933979,0.00396432,0.0,0.93235,0.00169167,12,...........,-327.67
8.712,0.932925,0.00393514,0.0,0.93135,0.00165,12,...........,-327.67
8.714,0.931904,0.00394347,0.0,0.93035,0.00170833,12,...........,-327.67
8.716,0.930946,0.00391012,0.0,0.92935,0.00168333,12,...........,-327.67
8.718,0.929971,0.00390596,0.0,0.92835,0.00165833,12,...........,-327.67
8.72,0.928787,0.00390596,0.0,0.92735,0.00169167,12,...........,-327.67
8.722,0.927846,0.00385176,0.0,0.92635,0.00159167,12,...........,-327.67
8.724,0.92695,0.00384343,0.0,0.92535,0.001675,12,...........,-327.67
8.726,0.925979,0.00381842,0.0,0.92435,0.00165833,12,...........,-327.67
8.728,0.924917,0.00380174,0.0,0.92335,0.00164167,12,...........,-327.67
8.73,0.923821,0.00377673,0.0,0.92235,0.00166667,12,...........,-327.67
8.732,0.92295,0.00377256,0.0,0.92135,0.00160833,12,...........,-327.67
