CC-at Ep-240C,VSTEP1,-1.612,TSTEP1,8000.0,QLIMIT,240000.0
T,Im,Q
-0.45,0.00776046,0.0
-0.4,0.00773655,0.0
-0.35,0.00770032,0.0
-0.3,0.00767655,0.0
-0.25,0.00766489,0.0
-0.2,0.00764579,0.0
-0.15,0.00761614,0.0
-0.1,0.00759877,0.0
-0.05,0.00757824,0.0
0.0,0.00754715,0.000377357
0.05,-0.191843,-0.00921477
0.1,-0.118786,-0.0151541
0.15,-0.0951977,-0.0199139
0.2,-0.0810922,-0.0239685
0.25,-0.0716944,-0.0275533
0.3,-0.0648481,-0.0307957
0.35,-0.0594735,-0.0337693
0.4,-0.0552008,-0.0365294
0.45,-0.0516988,-0.0391143
0.5,-0.0487707,-0.0415529
0.55,-0.0462553,-0.0438656
0.6,-0.0440742,-0.0460693
0.65,-0.0421536,-0.048177
0.7,-0.0404355,-0.0501988
0.75,-0.0388705,-0.0521423
0.8,-0.0374557,-0.0540151
0.85,-0.0361822,-0.0558242
0.9,-0.0350094,-0.0575747
0.95,-0.0339213,-0.0592707
1.0,-0.0328993,-0.0609157
1.05,-0.0319463,-0.062513
1.1,-0.0310344,-0.0640647
1.15,-0.0302053,-0.065575
1.2,-0.0294261,-0.0670463
1.25,-0.0287091,-0.0684818
1.3,-0.0280366,-0.0698836
1.35,-0.0274354,-0.0712554
1.4,-0.0268393,-0.0725973
1.45,-0.0262845,-0.0739116
1.5,-0.025795,-0.0752013
1.55,-0.025327,-0.0764677
1.6,-0.0248672,-0.077711
1.65,-0.0244654,-0.0789343
1.7,-0.0240736,-0.080138
1.75,-0.0236969,-0.0813228
1.8,-0.0233315,-0.0824894
1.85,-0.0229943,-0.0836391
1.9,-0.0226717,-0.0847727
1.95,-0.0223584,-0.0858906
2.0,-0.0220552,-0.0869934
2.05,-0.0217659,-0.0880817
2.1,-0.0214939,-0.0891564
2.15,-0.0213001,-0.0902214
2.2,-0.0210628,-0.0912745
2.25,-0.0208325,-0.0923161
2.3,-0.0205944,-0.0933458
2.35,-0.0203868,-0.0943652
2.4,-0.0201725,-0.0953738
