CC-at Ep-60C,VSTEP1,-1.612,TSTEP1,8000.0,QLIMIT,60000.0
T,Im,Q
-0.45,0.00532333,0.0
-0.4,0.00529311,0.0
-0.35,0.00528513,0.0
-0.3,0.00526783,0.0
-0.25,0.00525127,0.0
-0.2,0.00523905,0.0
-0.15,0.00523691,0.0
-0.1,0.00522085,0.0
-0.05,0.00520222,0.0
0.0,0.00518822,0.000259411
0.05,-0.185159,-0.00899855
0.1,-0.113513,-0.0146742
0.15,-0.0891573,-0.0191321
0.2,-0.075473,-0.0229057
0.25,-0.0664056,-0.026226
0.3,-0.0597655,-0.0292143
0.35,-0.054702,-0.0319494
0.4,-0.0506723,-0.034483
0.45,-0.0473714,-0.0368516
0.5,-0.0446605,-0.0390846
0.55,-0.0423573,-0.0412024
0.6,-0.0403508,-0.04322
0.65,-0.0385975,-0.0451499
0.7,-0.0370637,-0.047003
0.75,-0.0357124,-0.0487887
0.8,-0.0344878,-0.0505131
0.85,-0.0333822,-0.0521822
0.9,-0.0323609,-0.0538002
0.95,-0.0313947,-0.0553699
1.0,-0.0305398,-0.0568969
1.05,-0.0297714,-0.0583855
1.1,-0.0290644,-0.0598387
1.15,-0.0283536,-0.0612564
1.2,-0.0276382,-0.0626383
1.25,-0.0270293,-0.0639898
1.3,-0.0264427,-0.0653119
1.35,-0.025931,-0.0666085
1.4,-0.0254764,-0.0678823
1.45,-0.0250048,-0.0691325
1.5,-0.0245541,-0.0703602
1.55,-0.0241576,-0.0715681
1.6,-0.0237833,-0.0727573
1.65,-0.0234195,-0.0739283
1.7,-0.0230556,-0.075081
1.75,-0.0226978,-0.0762159
1.8,-0.0223521,-0.0773335
1.85,-0.0220245,-0.0784348
1.9,-0.0217307,-0.0795213
1.95,-0.0215135,-0.080597
2.0,-0.021356,-0.0816648
2.05,-0.0211557,-0.0827226
2.1,-0.0209739,-0.0837713
2.15,-0.0207836,-0.0848104
2.2,-0.0205606,-0.0858385
2.25,-0.0203695,-0.0868569
2.3,-0.0201733,-0.0878656
2.35,-0.0199626,-0.0888637
2.4,-0.0197779,-0.0898526
2.45,-0.019607,-0.090833
2.5,-0.0194402,-0.091805
2.55,-0.0192104,-0.0927655
2.6,-0.0189691,-0.093714
2.65,-0.0187679,-0.0946524
2.7,-0.0185959,-0.0955821
2.75,-0.0184359,-0.096504
2.8,-0.0182905,-0.0974185
2.85,-0.0181612,-0.0983265
2.9,-0.017997,-0.0992264
2.95,-0.0178485,-0.100119
3.0,-0.0177318,-0.101005
3.05,-0.0175848,-0.101885
3.1,-0.0174326,-0.102756
3.15,-0.0173123,-0.103622
3.2,-0.0171616,-0.10448
3.25,-0.0170327,-0.105332
3.3,-0.0169185,-0.106178
3.35,-0.0168099,-0.107018
3.4,-0.0167046,-0.107853
3.45,-0.0166156,-0.108684
3.5,-0.0165187,-0.10951
3.55,-0.016424,-0.110331
3.6,-0.0163174,-0.111147
3.65,-0.0162202,-0.111958
3.7,-0.0161467,-0.112765
3.75,-0.0160762,-0.113569
3.8,-0.015969,-0.114368
3.85,-0.0158555,-0.11516
3.9,-0.0157958,-0.11595
3.95,-0.0157239,-0.116736
4.0,-0.0156295,-0.117518
4.05,-0.0155327,-0.118295
4.1,-0.015432,-0.119066
4.15,-0.0153304,-0.119833
4.2,-0.0152416,-0.120595
4.25,-0.0151832,-0.121354
4.3,-0.0151246,-0.12211
4.35,-0.0150603,-0.122863
4.4,-0.0149908,-0.123613
4.45,-0.0149338,-0.124359
4.5,-0.0148749,-0.125103
4.55,-0.0148145,-0.125844
4.6,-0.0147191,-0.12658
4.65,-0.0146454,-0.127312
4.7,-0.0145951,-0.128042
4.75,-0.0145529,-0.128769
4.8,-0.0145636,-0.129498
4.85,-0.0145372,-0.130224
4.9,-0.0144644,-0.130948
4.95,-0.014376,-0.131666
5.0,-0.0142955,-0.132381
5.05,-0.0142322,-0.133093
5.1,-0.0141951,-0.133803
5.15,-0.0141531,-0.13451
5.2,-0.0141048,-0.135216
5.25,-0.0140449,-0.135918
5.3,-0.0139793,-0.136617
5.35,-0.0139063,-0.137312
5.4,-0.0138486,-0.138004
5.45,-0.0137948,-0.138694
5.5,-0.0137143,-0.13938
5.55,-0.013642,-0.140062
5.6,-0.0135948,-0.140742
5.65,-0.0135359,-0.141419
5.7,-0.0134915,-0.142093
5.75,-0.0134524,-0.142766
5.8,-0.0134224,-0.143437
5.85,-0.0134262,-0.144108
5.9,-0.0134237,-0.144779
5.95,-0.0134068,-0.14545
6.0,-0.0133828,-0.146119
6.05,-0.0133546,-0.146787
6.1,-0.0133339,-0.147453
6.15,-0.0132914,-0.148118
6.2,-0.0132614,-0.148781
6.25,-0.0132061,-0.149441
6.3,-0.0131411,-0.150098
6.35,-0.0131058,-0.150754
6.4,-0.0130752,-0.151407
6.45,-0.0130317,-0.152059
6.5,-0.0129971,-0.152709
6.55,-0.0129663,-0.153357
6.6,-0.0129336,-0.154004
6.65,-0.0128895,-0.154648
6.7,-0.0128499,-0.155291
6.75,-0.0128118,-0.155931
6.8,-0.0127774,-0.15657
6.85,-0.0127211,-0.157206
6.9,-0.012706,-0.157842
6.95,-0.0126757,-0.158475
7.0,-0.0126518,-0.159108
7.05,-0.0126313,-0.159739
7.1,-0.012616,-0.16037
7.15,-0.0125983,-0.161
7.2,-0.012576,-0.161629
7.25,-0.0125554,-0.162257
7.3,-0.0125307,-0.162883
7.35,-0.0125057,-0.163509
7.4,-0.0124799,-0.164133
7.45,-0.0124499,-0.164755
7.5,-0.0124318,-0.165377
7.55,-0.0124031,-0.165997
7.6,-0.0123716,-0.166615
7.65,-0.0123426,-0.167233
7.7,-0.0123018,-0.167848
7.75,-0.0122724,-0.168461
7.8,-0.0122478,-0.169074
7.85,-0.012232,-0.169685
7.9,-0.0122146,-0.170296
7.95,-0.012199,-0.170906
8.0,-0.0121771,-0.171515
8.05,-0.0121612,-0.172123
8.1,-0.0121471,-0.17273
8.15,-0.0121338,-0.173337
8.2,-0.0121202,-0.173943
8.25,-0.0121182,-0.174549
8.3,-0.0121139,-0.175155
8.35,-0.0121152,-0.17576
8.4,-0.0121033,-0.176365
8.45,-0.0121113,-0.176971
8.5,-0.0121106,-0.177577
8.55,-0.0120942,-0.178181
8.6,-0.012074,-0.178785
8.65,-0.0120485,-0.179387
8.7,-0.0120284,-0.179989
8.75,-0.0120191,-0.18059
8.8,-0.0120082,-0.18119
8.85,-0.0119944,-0.18179
8.9,-0.0119585,-0.182388
8.95,-0.0119446,-0.182985
9.0,-0.0119167,-0.183581
9.05,-0.0118956,-0.184176
9.1,-0.0118813,-0.18477
9.15,-0.0118541,-0.185362
9.2,-0.011827,-0.185954
9.25,-0.0118142,-0.186544
9.3,-0.0118007,-0.187135
9.35,-0.0117838,-0.187724
9.4,-0.0117716,-0.188312
9.45,-0.0117527,-0.1889
9.5,-0.0117338,-0.189487
9.55,-0.0117075,-0.190072
9.6,-0.0116994,-0.190657
9.65,-0.0116898,-0.191241
9.7,-0.0116779,-0.191825
9.75,-0.0116744,-0.192409
9.8,-0.0116706,-0.192993
9.85,-0.0116743,-0.193576
9.9,-0.0116721,-0.19416
9.95,-0.0116641,-0.194743
10.0,-0.0116539,-0.195326
10.05,-0.011643,-0.195908
10.1,-0.0116247,-0.196489
10.15,-0.0116208,-0.19707
10.2,-0.0116123,-0.197651
10.25,-0.0115905,-0.19823
10.3,-0.0115816,-0.198809
10.35,-0.0115664,-0.199388
10.4,-0.011565,-0.199966
10.45,-0.0115416,-0.200543
10.5,-0.0115334,-0.20112
10.55,-0.0115183,-0.201696
10.6,-0.0114971,-0.202271
10.65,-0.0114856,-0.202845
10.7,-0.0114832,-0.203419
10.75,-0.0114655,-0.203992
10.8,-0.0114662,-0.204566
10.85,-0.0114533,-0.205138
10.9,-0.0114534,-0.205711
10.95,-0.0114364,-0.206283
11.0,-0.01143,-0.206854
11.05,-0.0114219,-0.207425
11.1,-0.0114103,-0.207996
11.15,-0.0114088,-0.208566
11.2,-0.0114007,-0.209136
11.25,-0.0114044,-0.209707
11.3,-0.0113867,-0.210276
11.35,-0.0113835,-0.210845
11.4,-0.0113802,-0.211414
11.45,-0.0113838,-0.211983
11.5,-0.0113706,-0.212552
11.55,-0.0113593,-0.21312
11.6,-0.0113477,-0.213687
11.65,-0.0113501,-0.214255
11.7,-0.0113305,-0.214821
11.75,-0.0113324,-0.215388
11.8,-0.0113316,-0.215954
