CCStrip-at Ep-120C,VSTEP1,-1.395,TSTEP1,600.0,QLIMIT,120000.0
T,Im,Q
9.8,0.440539,4.66745
9.85,0.440524,4.68948
9.9,0.440501,4.7115
9.95,0.440576,4.73353
10.0,0.440606,4.75556
10.05,0.440593,4.77759
10.1,0.440575,4.79962
10.15,0.440582,4.82165
10.2,0.440579,4.84368
10.25,0.440582,4.86571
10.3,0.440571,4.88773
10.35,0.440556,4.90976
10.4,0.440553,4.93179
10.45,0.440554,4.95382
10.5,0.44054,4.97584
10.55,0.440549,4.99787
10.6,0.440548,5.0199
10.65,0.440542,5.04193
10.7,0.440523,5.06395
10.75,0.440519,5.08598
10.8,0.440526,5.108
10.85,0.440513,5.13003
10.9,0.440513,5.15206
10.95,0.440502,5.17408
11.0,0.440509,5.19611
11.05,0.440487,5.21813
11.1,0.440504,5.24016
11.15,0.440499,5.26218
11.2,0.440505,5.28421
11.25,0.440511,5.30623
11.3,0.440535,5.32826
11.35,0.440546,5.35029
11.4,0.440566,5.37231
11.45,0.440578,5.39434
11.5,0.440581,5.41637
11.55,0.440619,5.4384
11.6,0.440632,5.46043
11.65,0.440632,5.48247
11.7,0.440655,5.5045
11.75,0.440653,5.52653
11.8,0.440667,5.54856
11.85,0.440668,5.5706
11.9,0.440676,5.59263
11.95,0.440694,5.61467
12.0,0.44068,5.6367
12.05,0.440709,5.65874
12.1,0.440701,5.68077
12.15,0.440719,5.70281
12.2,0.440735,5.72484
12.25,0.440745,5.74688
12.3,0.440756,5.76892
12.35,0.440774,5.79096
12.4,0.440787,5.813
12.45,0.440812,5.83504
12.5,0.440823,5.85708
12.55,0.440832,5.87912
12.6,0.440853,5.90116
12.65,0.44089,5.92321
12.7,0.440902,5.94525
12.75,0.440908,5.9673
12.8,0.440923,5.98934
12.85,0.440943,6.01139
12.9,0.440949,6.03344
12.95,0.440969,6.05549
13.0,0.441,6.07754
13.05,0.441017,6.09959
13.1,0.441043,6.12164
13.15,0.441054,6.14369
13.2,0.441079,6.16575
13.25,0.441098,6.1878
13.3,0.441114,6.20986
13.35,0.441134,6.23191
13.4,0.441154,6.25397
13.45,0.441165,6.27603
13.5,0.441172,6.29809
13.55,0.441183,6.32015
13.6,0.441211,6.34221
13.65,0.441218,6.36427
13.7,0.441223,6.38633
13.75,0.441237,6.40839
13.8,0.44125,6.43045
13.85,0.441268,6.45252
13.9,0.441281,6.47458
13.95,0.441291,6.49665
14.0,0.441327,6.51871
14.05,0.44134,6.54078
14.1,0.441556,6.56286
14.15,0.441652,6.58494
14.2,0.441669,6.60702
14.25,0.441711,6.62911
14.3,0.441749,6.6512
14.35,0.441778,6.67329
14.4,0.441801,6.69538
14.45,0.441825,6.71747
