CCStrip-at Ep-300C,VSTEP1,-1.395,TSTEP1,600.0,QLIMIT,300000.0
T,Im,Q
0.0,3.2782,0.16391
0.05,0.493712,0.188596
0.1,0.526414,0.214916
0.15,0.54411,0.242122
0.2,0.55141,0.269692
0.25,0.554514,0.297418
0.3,0.55519,0.325178
0.35,0.554738,0.352914
0.4,0.553818,0.380605
0.45,0.55271,0.408241
0.5,0.551486,0.435815
0.55,0.550235,0.463327
0.6,0.548944,0.490774
0.65,0.547685,0.518158
0.7,0.546485,0.545483
0.75,0.545265,0.572746
0.8,0.54408,0.59995
0.85,0.542951,0.627097
0.9,0.541841,0.654189
0.95,0.54075,0.681227
1.0,0.539708,0.708212
1.05,0.538694,0.735147
1.1,0.537731,0.762034
1.15,0.536792,0.788873
1.2,0.53587,0.815667
1.25,0.534976,0.842416
1.3,0.534111,0.869121
1.35,0.533285,0.895785
1.4,0.532448,0.922408
1.45,0.531638,0.94899
1.5,0.530878,0.975534
1.55,0.53011,1.00204
1.6,0.529376,1.02851
1.65,0.528664,1.05494
1.7,0.527944,1.08134
1.75,0.527259,1.1077
1.8,0.526596,1.13403
1.85,0.52592,1.16033
1.9,0.525267,1.18659
1.95,0.524659,1.21282
2.0,0.524047,1.23903
2.05,0.523411,1.2652
2.1,0.52283,1.29134
2.15,0.522238,1.31745
2.2,0.521663,1.34353
2.25,0.521121,1.36959
2.3,0.520563,1.39562
2.35,0.520029,1.42162
2.4,0.519515,1.44759
2.45,0.51901,1.47354
2.5,0.518506,1.49947
2.55,0.518014,1.52537
2.6,0.517529,1.55125
2.65,0.517058,1.5771
2.7,0.516584,1.60293
2.75,0.516121,1.62874
2.8,0.515685,1.65452
2.85,0.51524,1.68028
2.9,0.514809,1.70602
2.95,0.514374,1.73174
3.0,0.513939,1.75744
3.05,0.513529,1.78311
3.1,0.513119,1.80877
3.15,0.512726,1.83441
3.2,0.512319,1.86002
3.25,0.511991,1.88562
3.3,0.511612,1.9112
3.35,0.511221,1.93676
3.4,0.510853,1.96231
3.45,0.510462,1.98783
3.5,0.510095,2.01333
3.55,0.509723,2.03882
3.6,0.509365,2.06429
3.65,0.509003,2.08974
3.7,0.50867,2.11517
3.75,0.508324,2.14059
3.8,0.50799,2.16599
3.85,0.507631,2.19137
3.9,0.507283,2.21673
3.95,0.506961,2.24208
4.0,0.506637,2.26741
4.05,0.506303,2.29273
4.1,0.505985,2.31803
4.15,0.505677,2.34331
4.2,0.505358,2.36858
4.25,0.505051,2.39383
4.3,0.504736,2.41907
4.35,0.504424,2.44429
4.4,0.504127,2.4695
4.45,0.503819,2.49469
4.5,0.503512,2.51986
4.55,0.50322,2.54502
4.6,0.502915,2.57017
4.65,0.502622,2.5953
4.7,0.502349,2.62042
4.75,0.502063,2.64552
4.8,0.501776,2.67061
4.85,0.501522,2.69569
4.9,0.501229,2.72075
4.95,0.50095,2.7458
5.0,0.500683,2.77083
5.05,0.500414,2.79585
5.1,0.500133,2.82086
5.15,0.499866,2.84585
5.2,0.499611,2.87083
5.25,0.499348,2.8958
5.3,0.499101,2.92075
5.35,0.498828,2.94569
5.4,0.498595,2.97062
5.45,0.498333,2.99554
5.5,0.498073,3.02044
5.55,0.497808,3.04534
5.6,0.497571,3.07021
5.65,0.497326,3.09508
5.7,0.497112,3.11994
5.75,0.496868,3.14478
5.8,0.496617,3.16961
5.85,0.496383,3.19443
5.9,0.496139,3.21924
5.95,0.495917,3.24403
6.0,0.495697,3.26882
6.05,0.495477,3.29359
6.1,0.495245,3.31835
6.15,0.495009,3.3431
6.2,0.494793,3.36784
6.25,0.494558,3.39257
6.3,0.494344,3.41729
6.35,0.49411,3.44199
6.4,0.493889,3.46669
6.45,0.493654,3.49137
6.5,0.493443,3.51604
6.55,0.49321,3.5407
6.6,0.492995,3.56535
6.65,0.49281,3.58999
6.7,0.492605,3.61462
6.75,0.492403,3.63924
6.8,0.492198,3.66385
6.85,0.492013,3.68845
6.9,0.491806,3.71304
6.95,0.491607,3.73763
7.0,0.491408,3.7622
7.05,0.491229,3.78676
7.1,0.491043,3.81131
7.15,0.490861,3.83585
7.2,0.490662,3.86039
7.25,0.490515,3.88491
7.3,0.490323,3.90943
7.35,0.49014,3.93393
7.4,0.489957,3.95843
7.45,0.489765,3.98292
7.5,0.489613,4.0074
7.55,0.489435,4.03187
7.6,0.48926,4.05634
7.65,0.4891,4.08079
7.7,0.488944,4.10524
7.75,0.488769,4.12968
7.8,0.48859,4.15411
7.85,0.488433,4.17853
7.9,0.488272,4.20294
7.95,0.48812,4.22735
8.0,0.487993,4.25175
8.05,0.487862,4.27614
8.1,0.487706,4.30053
8.15,0.487544,4.3249
8.2,0.487374,4.34927
8.25,0.487244,4.37363
8.3,0.487076,4.39799
8.35,0.486943,4.42233
8.4,0.486782,4.44667
8.45,0.48663,4.471
8.5,0.486507,4.49533
8.55,0.486381,4.51965
8.6,0.486241,4.54396
8.65,0.486099,4.56827
8.7,0.485963,4.59256
8.75,0.485829,4.61686
