CCStrip-at Ep-180C,VSTEP1,-1.395,TSTEP1,600.0,QLIMIT,180000.0
T,Im,Q
0.0,3.2782,0.16391
0.05,0.445765,0.186198
0.1,0.481162,0.210256
0.15,0.500442,0.235279
0.2,0.508555,0.260706
0.25,0.512172,0.286315
0.3,0.51318,0.311974
0.35,0.512982,0.337623
0.4,0.512283,0.363237
0.45,0.511386,0.388806
0.5,0.510282,0.414321
0.55,0.509134,0.439777
0.6,0.507964,0.465175
0.65,0.506797,0.490515
0.7,0.505635,0.515797
0.75,0.504514,0.541023
0.8,0.503423,0.566194
0.85,0.502353,0.591312
0.9,0.501292,0.616376
0.95,0.500278,0.64139
1.0,0.499277,0.666354
1.05,0.498307,0.691269
1.1,0.497368,0.716138
1.15,0.496425,0.740959
1.2,0.495567,0.765737
1.25,0.49469,0.790472
1.3,0.493864,0.815165
1.35,0.493054,0.839818
1.4,0.49229,0.864432
1.45,0.491476,0.889006
1.5,0.490739,0.913543
1.55,0.490015,0.938044
1.6,0.489307,0.962509
1.65,0.488608,0.986939
1.7,0.487921,1.01134
1.75,0.487254,1.0357
1.8,0.486624,1.06003
1.85,0.486019,1.08433
1.9,0.485402,1.1086
1.95,0.484788,1.13284
2.0,0.484217,1.15705
2.05,0.483616,1.18123
2.1,0.483048,1.20538
2.15,0.482505,1.22951
2.2,0.481938,1.25361
2.25,0.481403,1.27768
2.3,0.480868,1.30172
2.35,0.480353,1.32574
2.4,0.479857,1.34973
2.45,0.479323,1.3737
2.5,0.47885,1.39764
2.55,0.478355,1.42156
2.6,0.477885,1.44545
2.65,0.477419,1.46932
2.7,0.476963,1.49317
2.75,0.476524,1.517
2.8,0.476061,1.5408
2.85,0.475642,1.56458
2.9,0.475202,1.58834
2.95,0.474755,1.61208
3.0,0.474347,1.6358
3.05,0.473932,1.65949
3.1,0.473541,1.68317
3.15,0.473167,1.70683
3.2,0.472757,1.73047
3.25,0.472358,1.75408
3.3,0.472,1.77768
3.35,0.471619,1.80127
3.4,0.471258,1.82483
3.45,0.470861,1.84837
3.5,0.470477,1.87189
3.55,0.470129,1.8954
3.6,0.469723,1.91889
3.65,0.469419,1.94236
3.7,0.469014,1.96581
3.75,0.46866,1.98924
3.8,0.468381,2.01266
3.85,0.467999,2.03606
3.9,0.467696,2.05945
3.95,0.467383,2.08282
4.0,0.467074,2.10617
4.05,0.466758,2.12951
4.1,0.466428,2.15283
4.15,0.46612,2.17613
4.2,0.465805,2.19942
4.25,0.465485,2.2227
4.3,0.465173,2.24596
4.35,0.46483,2.2692
4.4,0.464552,2.29243
4.45,0.464208,2.31564
4.5,0.463944,2.33883
4.55,0.463695,2.36202
4.6,0.463349,2.38519
4.65,0.463119,2.40834
4.7,0.462858,2.43149
4.75,0.462596,2.45461
4.8,0.462353,2.47773
4.85,0.462081,2.50084
4.9,0.461813,2.52393
4.95,0.461566,2.54701
5.0,0.461316,2.57007
5.05,0.461047,2.59312
5.1,0.460828,2.61617
5.15,0.460614,2.6392
5.2,0.460363,2.66221
5.25,0.460132,2.68522
5.3,0.459876,2.70821
5.35,0.459635,2.7312
5.4,0.459407,2.75417
5.45,0.459163,2.77712
5.5,0.45897,2.80007
5.55,0.458752,2.82301
5.6,0.458528,2.84594
5.65,0.458322,2.86885
5.7,0.45812,2.89176
5.75,0.457889,2.91465
5.8,0.457679,2.93754
5.85,0.457485,2.96041
5.9,0.457274,2.98328
5.95,0.457069,3.00613
6.0,0.456874,3.02897
6.05,0.456678,3.05181
6.1,0.456471,3.07463
6.15,0.456284,3.09744
6.2,0.456098,3.12025
6.25,0.455934,3.14305
6.3,0.455747,3.16583
6.35,0.455589,3.18861
6.4,0.455389,3.21138
6.45,0.455226,3.23414
6.5,0.455054,3.2569
6.55,0.45489,3.27964
6.6,0.454727,3.30238
6.65,0.454559,3.32511
6.7,0.454411,3.34783
6.75,0.454262,3.37054
6.8,0.454094,3.39324
6.85,0.453955,3.41594
