CCStrip-at Ep-240C,VSTEP1,-1.395,TSTEP1,600.0,QLIMIT,240000.0
T,Im,Q
0.0,3.2782,0.16391
0.05,0.502105,0.189015
0.1,0.532228,0.215627
0.15,0.549639,0.243109
0.2,0.556668,0.270942
0.25,0.559468,0.298915
0.3,0.559869,0.326909
0.35,0.559233,0.354871
0.4,0.55817,0.382779
0.45,0.556918,0.410625
0.5,0.555587,0.438404
0.55,0.554239,0.466116
0.6,0.552891,0.493761
0.65,0.551564,0.521339
0.7,0.550262,0.548852
0.75,0.548985,0.576301
0.8,0.547741,0.603688
0.85,0.546557,0.631016
0.9,0.545407,0.658287
0.95,0.544292,0.685501
1.0,0.54321,0.712662
1.05,0.542169,0.73977
1.1,0.541151,0.766828
1.15,0.540155,0.793835
1.2,0.539188,0.820795
1.25,0.538268,0.847708
1.3,0.537426,0.874579
1.35,0.536542,0.901407
1.4,0.535706,0.928192
1.45,0.534867,0.954935
1.5,0.534078,0.981639
1.55,0.533284,1.0083
1.6,0.532529,1.03493
1.65,0.531787,1.06152
1.7,0.531084,1.08807
1.75,0.530373,1.11459
1.8,0.529685,1.14108
1.85,0.529022,1.16753
1.9,0.52837,1.19395
1.95,0.527732,1.22033
2.0,0.527105,1.24669
2.05,0.526479,1.27301
2.1,0.525883,1.29931
2.15,0.525287,1.32557
2.2,0.524715,1.35181
2.25,0.52417,1.37801
2.3,0.523586,1.40419
2.35,0.52305,1.43035
2.4,0.522512,1.45647
2.45,0.521975,1.48257
2.5,0.521474,1.50864
2.55,0.520969,1.53469
2.6,0.520468,1.56072
2.65,0.519971,1.58671
2.7,0.51951,1.61269
2.75,0.519025,1.63864
2.8,0.518562,1.66457
2.85,0.518108,1.69047
2.9,0.517657,1.71636
2.95,0.517188,1.74222
3.0,0.51677,1.76806
3.05,0.516342,1.79387
3.1,0.515915,1.81967
3.15,0.515493,1.84544
3.2,0.515096,1.8712
3.25,0.51469,1.89693
3.3,0.514269,1.92265
3.35,0.513858,1.94834
3.4,0.51348,1.97401
3.45,0.513081,1.99967
3.5,0.512703,2.0253
3.55,0.512322,2.05092
3.6,0.512001,2.07652
3.65,0.511653,2.1021
3.7,0.511288,2.12767
3.75,0.510923,2.15321
3.8,0.510558,2.17874
3.85,0.510228,2.20425
3.9,0.509877,2.22974
3.95,0.509558,2.25522
4.0,0.509222,2.28068
4.05,0.508886,2.30613
4.1,0.508551,2.33156
4.15,0.508236,2.35697
4.2,0.507906,2.38236
4.25,0.507595,2.40774
4.3,0.507273,2.43311
4.35,0.506955,2.45845
4.4,0.506628,2.48379
4.45,0.506339,2.5091
4.5,0.506043,2.5344
4.55,0.505734,2.55969
4.6,0.505446,2.58496
4.65,0.505138,2.61022
4.7,0.504842,2.63546
4.75,0.504539,2.66069
4.8,0.504262,2.6859
4.85,0.503954,2.7111
4.9,0.503675,2.73628
4.95,0.503393,2.76145
5.0,0.503118,2.78661
5.05,0.502848,2.81175
5.1,0.502554,2.83688
