CCStrip-at Ep-60C,VSTEP1,-1.395,TSTEP1,600.0,QLIMIT,60000.0
T,Im,Q
0.0,3.2782,0.16391
0.05,0.394644,0.183642
0.1,0.430418,0.205163
0.15,0.451103,0.227718
0.2,0.460791,0.250758
0.25,0.46521,0.274018
0.3,0.466873,0.297362
0.35,0.467205,0.320722
0.4,0.466888,0.344067
0.45,0.466244,0.367379
0.5,0.465396,0.390649
0.55,0.464465,0.413872
0.6,0.463517,0.437048
0.65,0.462511,0.460173
0.7,0.461494,0.483248
0.75,0.460568,0.506276
0.8,0.459566,0.529255
0.85,0.45861,0.552185
0.9,0.457658,0.575068
0.95,0.456735,0.597905
1.0,0.455887,0.620699
1.05,0.45495,0.643447
1.1,0.454153,0.666154
1.15,0.453299,0.688819
1.2,0.452483,0.711444
1.25,0.451672,0.734027
1.3,0.4509,0.756572
1.35,0.450146,0.779079
1.4,0.449347,0.801547
1.45,0.448638,0.823979
1.5,0.44794,0.846376
1.55,0.447242,0.868738
1.6,0.446541,0.891065
1.65,0.44589,0.913359
1.7,0.445229,0.935621
1.75,0.444602,0.957851
1.8,0.44397,0.980049
1.85,0.443376,1.00222
1.9,0.442746,1.02436
1.95,0.442178,1.04646
2.0,0.441633,1.06855
2.05,0.441048,1.0906
2.1,0.440509,1.11262
2.15,0.43993,1.13462
2.2,0.439399,1.15659
2.25,0.438898,1.17854
2.3,0.438346,1.20045
2.35,0.437893,1.22235
2.4,0.437341,1.24421
2.45,0.436847,1.26606
2.5,0.43636,1.28787
2.55,0.435842,1.30967
2.6,0.435405,1.33144
2.65,0.434984,1.35319
2.7,0.434529,1.37491
2.75,0.4341,1.39662
2.8,0.433647,1.4183
2.85,0.433227,1.43996
2.9,0.43278,1.4616
2.95,0.432372,1.48322
3.0,0.431945,1.50482
3.05,0.431522,1.52639
3.1,0.431119,1.54795
3.15,0.430707,1.56948
3.2,0.430289,1.591
3.25,0.429891,1.61249
3.3,0.429497,1.63397
3.35,0.429109,1.65542
3.4,0.428754,1.67686
3.45,0.428398,1.69828
3.5,0.428037,1.71968
3.55,0.427627,1.74106
3.6,0.427268,1.76243
3.65,0.42691,1.78377
3.7,0.426549,1.8051
3.75,0.426201,1.82641
3.8,0.425852,1.8477
3.85,0.425506,1.86898
3.9,0.425184,1.89024
3.95,0.424834,1.91148
4.0,0.424499,1.9327
