CC-at Ep-120C,VSTEP1,-1.612,TSTEP1,8000.0,QLIMIT,120000.0
T,Im,Q
8.75,-0.0119807,-0.182158
8.8,-0.0119655,-0.182757
8.85,-0.0119618,-0.183355
8.9,-0.0119439,-0.183952
8.95,-0.0119244,-0.184548
9.0,-0.0119166,-0.185144
9.05,-0.0119011,-0.185739
9.1,-0.0118904,-0.186334
9.15,-0.0118759,-0.186927
9.2,-0.0118662,-0.187521
9.25,-0.0118587,-0.188114
9.3,-0.0118457,-0.188706
9.35,-0.0118382,-0.189298
9.4,-0.0118219,-0.189889
9.45,-0.0118088,-0.190479
9.5,-0.0117967,-0.191069
9.55,-0.0117828,-0.191658
9.6,-0.0117654,-0.192247
9.65,-0.0117531,-0.192834
9.7,-0.011741,-0.193421
9.75,-0.0117275,-0.194008
9.8,-0.0117189,-0.194594
9.85,-0.0117042,-0.195179
9.9,-0.0116856,-0.195763
9.95,-0.0116682,-0.196346
10.0,-0.0116562,-0.196929
10.05,-0.0116356,-0.197511
10.1,-0.0116353,-0.198093
10.15,-0.011623,-0.198674
10.2,-0.0116181,-0.199255
10.25,-0.011601,-0.199835
10.3,-0.0115938,-0.200415
10.35,-0.0115796,-0.200994
10.4,-0.0115648,-0.201572
10.45,-0.0115521,-0.202149
10.5,-0.011543,-0.202727
10.55,-0.0115311,-0.203303
10.6,-0.0115226,-0.203879
10.65,-0.0115077,-0.204455
10.7,-0.0114908,-0.205029
10.75,-0.0114867,-0.205604
10.8,-0.0114684,-0.206177
10.85,-0.0114622,-0.20675
10.9,-0.0114446,-0.207322
10.95,-0.011442,-0.207894
11.0,-0.0114292,-0.208466
11.05,-0.0114215,-0.209037
11.1,-0.0114202,-0.209608
11.15,-0.0114136,-0.210179
11.2,-0.0113973,-0.210749
11.25,-0.0113946,-0.211318
11.3,-0.0113795,-0.211887
11.35,-0.0113714,-0.212456
11.4,-0.0113747,-0.213025
11.45,-0.0113613,-0.213593
11.5,-0.0113532,-0.21416
11.55,-0.0113433,-0.214727
11.6,-0.0113403,-0.215294
11.65,-0.0113407,-0.215861
11.7,-0.0113274,-0.216428
11.75,-0.011316,-0.216994
11.8,-0.0113118,-0.217559
11.85,-0.0113072,-0.218125
11.9,-0.0113101,-0.21869
11.95,-0.0113048,-0.219255
12.0,-0.0112954,-0.21982
12.05,-0.0112826,-0.220384
12.1,-0.0112689,-0.220948
12.15,-0.0112717,-0.221511
12.2,-0.0112656,-0.222075
12.25,-0.0112639,-0.222638
12.3,-0.0112617,-0.223201
12.35,-0.0112575,-0.223764
12.4,-0.0112452,-0.224326
12.45,-0.0112478,-0.224888
12.5,-0.0112419,-0.22545
12.55,-0.0112315,-0.226012
12.6,-0.0112268,-0.226573
12.65,-0.0112205,-0.227134
12.7,-0.0112228,-0.227696
12.75,-0.0112103,-0.228256
12.8,-0.0112141,-0.228817
12.85,-0.0112001,-0.229377
12.9,-0.011204,-0.229937
12.95,-0.0112006,-0.230497
13.0,-0.0111961,-0.231057
13.05,-0.0111915,-0.231616
13.1,-0.0111837,-0.232176
13.15,-0.0111655,-0.232734
