CC-at Ep-300C,VSTEP1,-1.612,TSTEP1,8000.0,QLIMIT,300000.0
T,Im,Q
-0.45,0.00878864,0.0
-0.4,0.00876466,0.0
-0.35,0.00874082,0.0
-0.3,0.00871187,0.0
-0.25,0.00869691,0.0
-0.2,0.00867063,0.0
-0.15,0.00864558,0.0
-0.1,0.00862945,0.0
-0.05,0.00860695,0.0
0.0,0.00858958,0.000429479
0.05,-0.193843,-0.00926268
0.1,-0.121049,-0.0153151
0.15,-0.0976005,-0.0201952
0.2,-0.0834601,-0.0243682
0.25,-0.0738771,-0.028062
0.3,-0.066882,-0.0314061
0.35,-0.0614593,-0.0344791
0.4,-0.0571468,-0.0373364
0.45,-0.0535865,-0.0400158
0.5,-0.0506155,-0.0425465
0.55,-0.0480648,-0.0449498
0.6,-0.0458193,-0.0472407
0.65,-0.0438228,-0.0494319
0.7,-0.0420494,-0.0515343
0.75,-0.0404332,-0.053556
0.8,-0.0389666,-0.0555043
0.85,-0.037611,-0.0573849
0.9,-0.0363778,-0.0592038
0.95,-0.0352301,-0.0609653
1.0,-0.0341592,-0.0626732
1.05,-0.0331488,-0.0643307
1.1,-0.0322232,-0.0659418
1.15,-0.0313459,-0.0675091
1.2,-0.0305217,-0.0690352
1.25,-0.0297609,-0.0705233
1.3,-0.0290584,-0.0719762
1.35,-0.028394,-0.0733959
1.4,-0.0277721,-0.0747845
1.45,-0.0272092,-0.076145
1.5,-0.0266555,-0.0774777
1.55,-0.0261582,-0.0787856
1.6,-0.0257035,-0.0800708
1.65,-0.0252419,-0.0813329
1.7,-0.0248087,-0.0825733
1.75,-0.0244126,-0.083794
1.8,-0.0240412,-0.084996
1.85,-0.0236737,-0.0861797
1.9,-0.0233273,-0.0873461
1.95,-0.023,-0.0884961
2.0,-0.0226738,-0.0896298
2.05,-0.0223727,-0.0907484
2.1,-0.0220688,-0.0918518
2.15,-0.0217808,-0.0929409
2.2,-0.0215221,-0.094017
2.25,-0.0212775,-0.0950809
2.3,-0.0210342,-0.0961326
2.35,-0.0208114,-0.0971731
2.4,-0.0205693,-0.0982016
2.45,-0.0203448,-0.0992188
2.5,-0.020134,-0.100226
2.55,-0.0199317,-0.101222
2.6,-0.0197427,-0.102209
2.65,-0.01955,-0.103187
2.7,-0.0193695,-0.104155
2.75,-0.0192036,-0.105115
2.8,-0.0190124,-0.106066
2.85,-0.0188445,-0.107008
2.9,-0.0186765,-0.107942
2.95,-0.0185247,-0.108868
3.0,-0.0183795,-0.109787
3.05,-0.0182428,-0.110699
3.1,-0.0181189,-0.111605
3.15,-0.0179665,-0.112504
3.2,-0.017839,-0.113396
3.25,-0.0177304,-0.114282
3.3,-0.017613,-0.115163
3.35,-0.017468,-0.116036
3.4,-0.0173557,-0.116904
3.45,-0.0172318,-0.117766
3.5,-0.0171097,-0.118621
3.55,-0.0170022,-0.119471
3.6,-0.0169031,-0.120316
3.65,-0.0168067,-0.121157
3.7,-0.0167025,-0.121992
3.75,-0.016604,-0.122822
3.8,-0.0165177,-0.123648
3.85,-0.0164247,-0.124469
3.9,-0.0163242,-0.125285
3.95,-0.0162409,-0.126097
4.0,-0.0161577,-0.126905
4.05,-0.0160833,-0.127709
4.1,-0.0159997,-0.128509
4.15,-0.0159084,-0.129305
4.2,-0.0158085,-0.130095
4.25,-0.0157428,-0.130882
4.3,-0.0156672,-0.131666
4.35,-0.0155898,-0.132445
4.4,-0.0155036,-0.13322
4.45,-0.0154315,-0.133992
4.5,-0.0153667,-0.13476
4.55,-0.0152939,-0.135525
4.6,-0.0152105,-0.136286
4.65,-0.0151443,-0.137043
4.7,-0.0150727,-0.137796
4.75,-0.0150203,-0.138547
4.8,-0.0149769,-0.139296
4.85,-0.0149386,-0.140043
4.9,-0.0148798,-0.140787
4.95,-0.0148187,-0.141528
5.0,-0.014743,-0.142265
5.05,-0.0146734,-0.142999
5.1,-0.0146283,-0.14373
5.15,-0.014579,-0.144459
5.2,-0.0145411,-0.145186
5.25,-0.0145116,-0.145912
5.3,-0.0144637,-0.146635
5.35,-0.0144069,-0.147355
5.4,-0.0143399,-0.148072
5.45,-0.0142806,-0.148787
5.5,-0.0142312,-0.149498
5.55,-0.0141949,-0.150208
5.6,-0.0141574,-0.150916
5.65,-0.0141238,-0.151622
5.7,-0.0140865,-0.152326
5.75,-0.0140419,-0.153028
5.8,-0.0139968,-0.153728
5.85,-0.0139404,-0.154425
5.9,-0.0138939,-0.15512
5.95,-0.0138499,-0.155812
6.0,-0.013817,-0.156503
6.05,-0.0137802,-0.157192
6.1,-0.0137506,-0.15788
6.15,-0.0137218,-0.158566
6.2,-0.0136814,-0.15925
6.25,-0.0136408,-0.159932
6.3,-0.0136122,-0.160613
6.35,-0.0135868,-0.161292
6.4,-0.0135485,-0.161969
6.45,-0.013514,-0.162645
6.5,-0.0134868,-0.163319
6.55,-0.0134596,-0.163992
6.6,-0.0134363,-0.164664
6.65,-0.0134142,-0.165335
6.7,-0.0133884,-0.166004
6.75,-0.013362,-0.166672
6.8,-0.0133485,-0.16734
6.85,-0.0133261,-0.168006
6.9,-0.0132979,-0.168671
6.95,-0.0132725,-0.169335
7.0,-0.0132467,-0.169997
7.05,-0.0132106,-0.170658
7.1,-0.0131626,-0.171316
7.15,-0.0131353,-0.171972
7.2,-0.0131264,-0.172629
7.25,-0.0131053,-0.173284
7.3,-0.0130743,-0.173938
7.35,-0.0130569,-0.174591
7.4,-0.0130414,-0.175243
7.45,-0.0130279,-0.175894
7.5,-0.0130026,-0.176544
7.55,-0.0129769,-0.177193
7.6,-0.0129548,-0.177841
7.65,-0.0129307,-0.178487
7.7,-0.0129038,-0.179132
7.75,-0.0128763,-0.179776
7.8,-0.0128422,-0.180418
7.85,-0.0128156,-0.181059
7.9,-0.0127814,-0.181698
7.95,-0.0127615,-0.182336
8.0,-0.0127354,-0.182973
8.05,-0.0127217,-0.183609
8.1,-0.0127011,-0.184244
8.15,-0.0126822,-0.184878
8.2,-0.0126574,-0.185511
8.25,-0.0126496,-0.186144
8.3,-0.0126361,-0.186775
8.35,-0.0126099,-0.187406
8.4,-0.0125993,-0.188036
8.45,-0.0125855,-0.188665
8.5,-0.0125664,-0.189294
8.55,-0.0125511,-0.189921
8.6,-0.0125434,-0.190548
8.65,-0.0125364,-0.191175
8.7,-0.01252,-0.191801
8.75,-0.0125016,-0.192426
8.8,-0.0124894,-0.193051
8.85,-0.0124781,-0.193675
8.9,-0.0124623,-0.194298
8.95,-0.0124472,-0.19492
9.0,-0.0124335,-0.195542
9.05,-0.0124187,-0.196163
9.1,-0.0123918,-0.196782
9.15,-0.0123739,-0.197401
9.2,-0.012373,-0.19802
9.25,-0.012366,-0.198638
9.3,-0.0123441,-0.199255
9.35,-0.0123351,-0.199872
9.4,-0.0123131,-0.200487
9.45,-0.0123086,-0.201103
9.5,-0.0123011,-0.201718
9.55,-0.012292,-0.202333
9.6,-0.0122854,-0.202947
9.65,-0.0122682,-0.20356
9.7,-0.0122673,-0.204174
9.75,-0.0122574,-0.204786
9.8,-0.0122379,-0.205398
9.85,-0.0122304,-0.20601
9.9,-0.0122208,-0.206621
9.95,-0.0122182,-0.207232
10.0,-0.0121997,-0.207842
10.05,-0.0121982,-0.208452
10.1,-0.0121972,-0.209062
10.15,-0.0121882,-0.209671
10.2,-0.0121777,-0.21028
10.25,-0.012164,-0.210888
10.3,-0.0121445,-0.211495
10.35,-0.0121513,-0.212103
10.4,-0.0121362,-0.21271
10.45,-0.01213,-0.213316
10.5,-0.0121242,-0.213922
10.55,-0.0120966,-0.214527
10.6,-0.0120936,-0.215132
10.65,-0.0120919,-0.215736
10.7,-0.012084,-0.216341
10.75,-0.0120816,-0.216945
10.8,-0.0120728,-0.217548
10.85,-0.0120662,-0.218152
10.9,-0.0120544,-0.218754
10.95,-0.0120583,-0.219357
11.0,-0.0120443,-0.21996
11.05,-0.0120362,-0.220561
11.1,-0.0120215,-0.221162
11.15,-0.0120105,-0.221763
11.2,-0.0119977,-0.222363
11.25,-0.0119857,-0.222962
11.3,-0.0119743,-0.223561
11.35,-0.0119693,-0.224159
11.4,-0.0119646,-0.224758
11.45,-0.0119626,-0.225356
11.5,-0.0119638,-0.225954
11.55,-0.0119405,-0.226551
11.6,-0.0119369,-0.227148
11.65,-0.011933,-0.227744
11.7,-0.0119148,-0.22834
11.75,-0.0118998,-0.228935
11.8,-0.0119005,-0.22953
11.85,-0.0118908,-0.230125
11.9,-0.0118874,-0.230719
11.95,-0.0118702,-0.231313
12.0,-0.0118624,-0.231906
12.05,-0.0118617,-0.232499
12.1,-0.0118588,-0.233092
12.15,-0.0118571,-0.233685
12.2,-0.0118484,-0.234277
12.25,-0.011844,-0.234869
12.3,-0.011839,-0.235461
12.35,-0.011838,-0.236053
12.4,-0.0118383,-0.236645
12.45,-0.0118358,-0.237237
12.5,-0.0118375,-0.237829
12.55,-0.0118344,-0.23842
12.6,-0.0118271,-0.239012
12.65,-0.0118257,-0.239603
12.7,-0.0118243,-0.240194
12.75,-0.0118292,-0.240786
12.8,-0.0118207,-0.241377
12.85,-0.0118179,-0.241968
12.9,-0.0118251,-0.242559
12.95,-0.0118217,-0.24315
13.0,-0.0118187,-0.243741
13.05,-0.0118221,-0.244332
13.1,-0.0118198,-0.244923
13.15,-0.0118164,-0.245514
13.2,-0.0118141,-0.246104
13.25,-0.0118202,-0.246695
13.3,-0.0118192,-0.247286
13.35,-0.0118185,-0.247877
13.4,-0.0118147,-0.248468
13.45,-0.0118164,-0.249059
13.5,-0.0118177,-0.24965
13.55,-0.0118172,-0.250241
13.6,-0.0118156,-0.250831
13.65,-0.0118102,-0.251422
13.7,-0.0118161,-0.252013
13.75,-0.0118202,-0.252604
13.8,-0.0118163,-0.253195
13.85,-0.0118242,-0.253786
13.9,-0.0118208,-0.254377
13.95,-0.0118121,-0.254967
14.0,-0.0118118,-0.255558
14.05,-0.0118133,-0.256149
14.1,-0.0118007,-0.256739
14.15,-0.0117964,-0.257329
14.2,-0.0117969,-0.257918
14.25,-0.01179,-0.258508
14.3,-0.0117884,-0.259097
14.35,-0.0117743,-0.259686
14.4,-0.0117656,-0.260274
14.45,-0.0117511,-0.260862
14.5,-0.0117533,-0.26145
14.55,-0.0117572,-0.262037
14.6,-0.011752,-0.262625
14.65,-0.0117519,-0.263213
14.7,-0.0117353,-0.263799
14.75,-0.0117371,-0.264386
14.8,-0.0117356,-0.264973
14.85,-0.0117272,-0.265559
14.9,-0.0117262,-0.266146
14.95,-0.0117212,-0.266732
15.0,-0.0117212,-0.267318
15.05,-0.0117338,-0.267904
15.1,-0.0117341,-0.268491
15.15,-0.0117204,-0.269077
15.2,-0.0117288,-0.269664
15.25,-0.0117304,-0.27025
15.3,-0.0117323,-0.270837
15.35,-0.0117416,-0.271424
15.4,-0.0117414,-0.272011
15.45,-0.0117464,-0.272598
15.5,-0.0117486,-0.273186
15.55,-0.011747,-0.273773
15.6,-0.0117358,-0.27436
15.65,-0.0117466,-0.274947
15.7,-0.0117525,-0.275535
15.75,-0.0117556,-0.276123
15.8,-0.0117465,-0.27671
15.85,-0.011746,-0.277297
15.9,-0.011749,-0.277885
15.95,-0.011759,-0.278473
16.0,-0.0117605,-0.279061
16.05,-0.0117737,-0.279649
16.1,-0.0117678,-0.280238
