CC-at Ep-180C,VSTEP1,-1.612,TSTEP1,8000.0,QLIMIT,180000.0
T,Im,Q
-0.45,0.00705497,0.0
-0.4,0.00703697,0.0
-0.35,0.00700915,0.0
-0.3,0.00700608,0.0
-0.25,0.00698751,0.0
-0.2,0.00697115,0.0
-0.15,0.00695619,0.0
-0.1,0.00692584,0.0
-0.05,0.00689284,0.0
0.0,0.00686997,0.000343498
0.05,-0.192416,-0.00927728
0.1,-0.118317,-0.0151931
0.15,-0.094416,-0.0199139
0.2,-0.080336,-0.0239307
0.25,-0.0710082,-0.0274812
0.3,-0.0641625,-0.0306893
0.35,-0.0588659,-0.0336326
0.4,-0.0546157,-0.0363634
0.45,-0.0510791,-0.0389173
0.5,-0.0480753,-0.0413211
0.55,-0.0454782,-0.043595
0.6,-0.0431659,-0.0457533
0.65,-0.0410982,-0.0478082
0.7,-0.0392628,-0.0497713
0.75,-0.0376186,-0.0516523
0.8,-0.0361778,-0.0534611
0.85,-0.0349012,-0.0552062
0.9,-0.0337432,-0.0568934
0.95,-0.0326972,-0.0585282
1.0,-0.0317467,-0.0601156
1.05,-0.0308669,-0.0616589
1.1,-0.0300692,-0.0631624
1.15,-0.0293199,-0.0646284
1.2,-0.0286229,-0.0660595
1.25,-0.0279721,-0.0674581
1.3,-0.027376,-0.0688269
1.35,-0.0268024,-0.070167
1.4,-0.0262574,-0.0714799
1.45,-0.025773,-0.0727685
1.5,-0.025312,-0.0740341
1.55,-0.0248684,-0.0752776
1.6,-0.0244361,-0.0764994
1.65,-0.0240299,-0.0777009
1.7,-0.0236393,-0.0788828
1.75,-0.0232749,-0.0800466
1.8,-0.0229193,-0.0811925
1.85,-0.0225956,-0.0823223
1.9,-0.0222785,-0.0834363
1.95,-0.021954,-0.084534
2.0,-0.0216732,-0.0856176
2.05,-0.02139,-0.0866871
2.1,-0.0211167,-0.0877429
2.15,-0.0208707,-0.0887865
2.2,-0.0206119,-0.0898171
2.25,-0.0203694,-0.0908355
2.3,-0.0201329,-0.0918422
2.35,-0.0199113,-0.0928378
2.4,-0.0197089,-0.0938232
2.45,-0.0194989,-0.0947981
2.5,-0.0193184,-0.0957641
2.55,-0.0191294,-0.0967205
2.6,-0.0189387,-0.0976675
2.65,-0.0187533,-0.0986051
2.7,-0.0185814,-0.0995342
2.75,-0.0184037,-0.100454
2.8,-0.0182476,-0.101367
2.85,-0.0181063,-0.102272
2.9,-0.0179498,-0.10317
2.95,-0.0178085,-0.10406
3.0,-0.017681,-0.104944
3.05,-0.0175324,-0.105821
3.1,-0.0173927,-0.10669
3.15,-0.0172729,-0.107554
3.2,-0.0171275,-0.10841
3.25,-0.0169901,-0.10926
3.3,-0.0168805,-0.110104
3.35,-0.0167573,-0.110942
3.4,-0.0166434,-0.111774
3.45,-0.0165488,-0.112601
3.5,-0.0164406,-0.113423
3.55,-0.0163315,-0.11424
3.6,-0.016229,-0.115051
3.65,-0.0161469,-0.115859
3.7,-0.0160641,-0.116662
3.75,-0.0159706,-0.11746
3.8,-0.0158562,-0.118253
3.85,-0.0157657,-0.119042
3.9,-0.015691,-0.119826
3.95,-0.0155945,-0.120606
4.0,-0.0154964,-0.121381
4.05,-0.0154152,-0.122151
4.1,-0.0153212,-0.122917
4.15,-0.0152404,-0.123679
4.2,-0.0151679,-0.124438
4.25,-0.0150812,-0.125192
4.3,-0.0150053,-0.125942
4.35,-0.0149612,-0.12669
4.4,-0.0148967,-0.127435
4.45,-0.014838,-0.128177
4.5,-0.0147528,-0.128915
4.55,-0.0146725,-0.129648
4.6,-0.0146214,-0.130379
4.65,-0.0145728,-0.131108
4.7,-0.0145214,-0.131834
4.75,-0.0144744,-0.132558
4.8,-0.0144167,-0.133279
4.85,-0.0143535,-0.133996
4.9,-0.0142777,-0.13471
4.95,-0.0142186,-0.135421
5.0,-0.0141745,-0.13613
5.05,-0.0141243,-0.136836
5.1,-0.0140905,-0.137541
5.15,-0.0140423,-0.138243
5.2,-0.0139858,-0.138942
5.25,-0.0139397,-0.139639
5.3,-0.0138798,-0.140333
5.35,-0.013836,-0.141025
5.4,-0.0137926,-0.141714
5.45,-0.0137421,-0.142401
5.5,-0.0137038,-0.143087
5.55,-0.0136612,-0.14377
5.6,-0.0136133,-0.14445
5.65,-0.0135711,-0.145129
5.7,-0.0135325,-0.145806
5.75,-0.0134839,-0.14648
5.8,-0.0134472,-0.147152
5.85,-0.0134153,-0.147823
5.9,-0.0133806,-0.148492
5.95,-0.0133592,-0.14916
6.0,-0.0133286,-0.149826
6.05,-0.0132974,-0.150491
6.1,-0.0132596,-0.151154
6.15,-0.0132129,-0.151815
6.2,-0.0131633,-0.152473
6.25,-0.0131164,-0.153129
6.3,-0.0130932,-0.153783
6.35,-0.013055,-0.154436
6.4,-0.0130207,-0.155087
6.45,-0.0130064,-0.155738
6.5,-0.0129716,-0.156386
6.55,-0.0129402,-0.157033
6.6,-0.0129078,-0.157679
6.65,-0.0128806,-0.158323
6.7,-0.0128517,-0.158965
6.75,-0.0128199,-0.159606
6.8,-0.0127831,-0.160245
6.85,-0.0127602,-0.160883
6.9,-0.0127269,-0.16152
6.95,-0.0126916,-0.162154
7.0,-0.0126613,-0.162787
7.05,-0.0126456,-0.16342
7.1,-0.0126187,-0.164051
7.15,-0.0125892,-0.16468
7.2,-0.0125688,-0.165308
7.25,-0.0125547,-0.165936
7.3,-0.0125342,-0.166563
7.35,-0.012514,-0.167189
7.4,-0.0124955,-0.167813
7.45,-0.0124826,-0.168437
7.5,-0.0124639,-0.169061
7.55,-0.0124589,-0.169684
7.6,-0.0124408,-0.170306
7.65,-0.0124224,-0.170927
7.7,-0.0123932,-0.171546
7.75,-0.0123619,-0.172165
7.8,-0.0123476,-0.172782
7.85,-0.0123282,-0.173398
7.9,-0.0122985,-0.174013
7.95,-0.0122783,-0.174627
8.0,-0.0122497,-0.17524
8.05,-0.0122223,-0.175851
8.1,-0.0122133,-0.176461
8.15,-0.0121989,-0.177071
8.2,-0.0121792,-0.17768
8.25,-0.0121615,-0.178288
8.3,-0.012139,-0.178895
8.35,-0.012123,-0.179502
8.4,-0.0120923,-0.180106
8.45,-0.0120788,-0.18071
8.5,-0.0120691,-0.181314
8.55,-0.0120525,-0.181916
8.6,-0.0120364,-0.182518
8.65,-0.012026,-0.183119
8.7,-0.0120046,-0.183719
8.75,-0.0119919,-0.184319
8.8,-0.0119769,-0.184918
8.85,-0.0119632,-0.185516
8.9,-0.0119449,-0.186113
8.95,-0.0119213,-0.186709
9.0,-0.0119047,-0.187305
9.05,-0.0119018,-0.1879
9.1,-0.0118863,-0.188494
9.15,-0.0118667,-0.189087
9.2,-0.0118631,-0.189681
9.25,-0.0118418,-0.190273
9.3,-0.011833,-0.190864
9.35,-0.0118116,-0.191455
9.4,-0.0118042,-0.192045
9.45,-0.0117918,-0.192635
9.5,-0.0117855,-0.193224
9.55,-0.0117686,-0.193812
9.6,-0.0117527,-0.1944
9.65,-0.0117382,-0.194987
9.7,-0.0117332,-0.195574
9.75,-0.0117108,-0.196159
9.8,-0.0116926,-0.196744
9.85,-0.0116792,-0.197328
9.9,-0.0116598,-0.197911
9.95,-0.0116589,-0.198494
10.0,-0.0116406,-0.199076
10.05,-0.0116365,-0.199657
10.1,-0.0116279,-0.200239
10.15,-0.0116202,-0.20082
10.2,-0.0116215,-0.201401
10.25,-0.0116036,-0.201981
10.3,-0.0115931,-0.202561
10.35,-0.011586,-0.20314
10.4,-0.0115754,-0.203719
10.45,-0.0115574,-0.204297
10.5,-0.0115569,-0.204875
10.55,-0.0115518,-0.205452
10.6,-0.0115276,-0.206029
10.65,-0.0115171,-0.206604
10.7,-0.0115046,-0.20718
10.75,-0.0114925,-0.207754
10.8,-0.0114907,-0.208329
10.85,-0.0114765,-0.208903
10.9,-0.0114723,-0.209476
10.95,-0.0114635,-0.210049
11.0,-0.0114521,-0.210622
11.05,-0.0114453,-0.211194
11.1,-0.0114366,-0.211766
11.15,-0.0114279,-0.212337
11.2,-0.0114098,-0.212908
11.25,-0.0114023,-0.213478
11.3,-0.0113901,-0.214048
11.35,-0.0113883,-0.214617
11.4,-0.0113751,-0.215186
11.45,-0.0113598,-0.215754
11.5,-0.0113488,-0.216321
11.55,-0.0113471,-0.216889
11.6,-0.0113304,-0.217455
11.65,-0.0113253,-0.218021
11.7,-0.0113164,-0.218587
11.75,-0.0113082,-0.219153
11.8,-0.0113058,-0.219718
11.85,-0.0112931,-0.220283
11.9,-0.0112856,-0.220847
11.95,-0.01128,-0.221411
12.0,-0.0112698,-0.221974
12.05,-0.0112644,-0.222538
12.1,-0.0112527,-0.2231
12.15,-0.0112495,-0.223663
12.2,-0.011234,-0.224224
12.25,-0.0112335,-0.224786
12.3,-0.0112239,-0.225347
12.35,-0.0112207,-0.225908
12.4,-0.0112057,-0.226469
12.45,-0.0112031,-0.227029
12.5,-0.0111902,-0.227588
12.55,-0.0111841,-0.228147
12.6,-0.0111699,-0.228706
12.65,-0.0111643,-0.229264
12.7,-0.0111601,-0.229822
12.75,-0.0111563,-0.23038
12.8,-0.0111496,-0.230937
12.85,-0.0111494,-0.231495
12.9,-0.011137,-0.232052
12.95,-0.0111304,-0.232608
13.0,-0.0111197,-0.233164
13.05,-0.0111046,-0.233719
13.1,-0.0110883,-0.234274
