1500 mVs,SCAN RATE,1500.0
T,Vf,Im
0.001333,-0.642587,-0.000331402
0.002667,-0.644562,-0.00048147
0.004,-0.646712,-0.000606528
0.005333,-0.648781,-0.000687815
0.006667,-0.650744,-0.000637792
0.008,-0.652519,-0.000781608
0.009333,-0.654712,-0.000800367
0.010667,-0.656662,-0.000887907
0.012,-0.658581,-0.000887907
0.013333,-0.660681,-0.000925424
0.014667,-0.66265,-0.000962941
0.016,-0.664644,-0.000925424
0.017333,-0.666631,-0.000975447
0.018667,-0.6687,-0.000987952
0.02,-0.670681,-0.00109425
0.021333,-0.672762,-0.00108175
0.022667,-0.674631,-0.00115678
0.024,-0.676856,-0.001088
0.025333,-0.678631,-0.00109425
0.026667,-0.680575,-0.00116303
0.028,-0.682662,-0.00122556
0.029333,-0.684687,-0.00124432
0.030667,-0.686619,-0.00118179
0.032,-0.68875,-0.00126308
0.033333,-0.690663,-0.00125057
0.034667,-0.69255,-0.00124432
0.036,-0.694613,-0.00125683
0.037333,-0.6968,-0.00128809
0.038667,-0.698613,-0.00124432
0.04,-0.700413,-0.00126308
0.041333,-0.702731,-0.00127558
0.042667,-0.704681,-0.00130685
0.044,-0.706575,-0.0013131
0.045333,-0.70855,-0.00134437
0.046667,-0.710631,-0.00136312
0.048,-0.712675,-0.00137563
0.049333,-0.714588,-0.00131935
0.050667,-0.7166,-0.00133811
0.052,-0.718719,-0.00138188
0.053333,-0.72085,-0.00138188
0.054667,-0.722637,-0.00137563
0.056,-0.72465,-0.00135062
0.057333,-0.726681,-0.00135062
0.058667,-0.728806,-0.00133186
0.06,-0.730662,-0.00138814
0.061333,-0.732681,-0.00140689
0.062667,-0.734612,-0.00144441
0.064,-0.736631,-0.00138814
0.065333,-0.738656,-0.00136938
0.066667,-0.740606,-0.00143191
0.068,-0.7426,-0.00146942
0.069333,-0.7447,-0.00140064
0.070667,-0.746637,-0.00136938
0.072,-0.7485,-0.00151945
0.073333,-0.750612,-0.00145692
0.074667,-0.752731,-0.00148193
0.076,-0.754637,-0.00149443
0.077333,-0.756537,-0.00154446
0.078667,-0.758569,-0.00157572
0.08,-0.760719,-0.0015382
0.081333,-0.762581,-0.00150069
0.082667,-0.764556,-0.0015382
0.084,-0.766669,-0.00158197
0.085333,-0.768831,-0.00148193
0.086667,-0.770625,-0.00150694
0.088,-0.772544,-0.00159448
0.089333,-0.774706,-0.00155696
0.090667,-0.776681,-0.00156322
0.092,-0.778637,-0.00156947
0.093333,-0.780625,-0.00163825
0.094667,-0.782631,-0.00158197
0.096,-0.784637,-0.00160699
0.097333,-0.786587,-0.00157572
0.098667,-0.788669,-0.00163825
0.1,-0.790625,-0.00165076
0.101333,-0.792769,-0.00166326
0.102667,-0.794587,-0.00166951
0.104,-0.7966,-0.00166951
0.105333,-0.798569,-0.00170078
0.106667,-0.800756,-0.00165701
0.108,-0.802637,-0.00165076
0.109333,-0.804744,-0.00168202
0.110667,-0.806569,-0.00168202
0.112,-0.808637,-0.00165701
0.113333,-0.810644,-0.00170703
0.114667,-0.812569,-0.00170703
0.116,-0.814562,-0.00169453
0.117333,-0.816794,-0.00169453
0.118667,-0.818606,-0.00176956
0.12,-0.820512,-0.00181958
0.121333,-0.822656,-0.00176331
0.122667,-0.824806,-0.00176956
0.124,-0.826587,-0.00176331
0.125333,-0.828656,-0.00176956
0.126667,-0.830844,-0.00180708
0.128,-0.832612,-0.00178832
0.129333,-0.834581,-0.00178832
0.130667,-0.836587,-0.00182584
0.132,-0.838631,-0.00187586
0.133333,-0.840594,-0.00186961
0.134667,-0.842562,-0.00184459
0.136,-0.844644,-0.00183209
0.137333,-0.846563,-0.00187586
0.138667,-0.848737,-0.00181958
0.14,-0.850619,-0.00190087
0.141333,-0.852581,-0.00183834
0.142667,-0.85465,-0.00183834
0.144,-0.856825,-0.00186335
0.145333,-0.858594,-0.00191963
0.146667,-0.860575,-0.00194464
0.148,-0.86255,-0.00194464
0.149333,-0.864562,-0.00193839
0.150667,-0.8666,-0.00193213
0.152,-0.868531,-0.00199466
0.153333,-0.870569,-0.00191963
0.154667,-0.872844,-0.00201342
0.156,-0.874575,-0.00198216
0.157333,-0.876575,-0.00203843
0.158667,-0.878631,-0.00203218
0.16,-0.880794,-0.00193839
0.161333,-0.882587,-0.00202593
0.162667,-0.88455,-0.00198216
0.164,-0.886612,-0.00206345
0.165333,-0.888669,-0.0020822
0.166667,-0.890556,-0.00205094
0.168,-0.892506,-0.00209471
0.169333,-0.894581,-0.0020697
0.170667,-0.896687,-0.00212597
0.172,-0.898587,-0.00216349
0.173333,-0.900587,-0.00216349
0.174667,-0.902625,-0.00216349
0.176,-0.9048,-0.00219476
0.177333,-0.906569,-0.00213848
0.178667,-0.908575,-0.00215099
0.18,-0.910544,-0.00215099
0.181333,-0.912506,-0.00216349
0.182667,-0.914606,-0.002176
0.184,-0.916637,-0.00219476
0.185333,-0.918612,-0.00224478
0.186667,-0.920681,-0.00227604
0.188,-0.922637,-0.00218225
0.189333,-0.924462,-0.00230731
0.190667,-0.926581,-0.00224478
0.192,-0.928787,-0.00227604
0.193333,-0.930575,-0.00225728
0.194667,-0.932631,-0.00230731
0.196,-0.934487,-0.00233857
0.197333,-0.936606,-0.00232607
0.198667,-0.938519,-0.00232607
0.2,-0.940462,-0.00233857
0.201333,-0.942569,-0.00234482
0.202667,-0.9447,-0.00240735
0.204,-0.9466,-0.00238859
0.205333,-0.948431,-0.00239485
0.206667,-0.950587,-0.0024011
0.208,-0.952587,-0.00238234
0.209333,-0.954537,-0.0024011
0.210667,-0.95655,-0.00245112
0.212,-0.958669,-0.00243236
0.213333,-0.960469,-0.00241986
0.214667,-0.962487,-0.00245112
0.216,-0.964587,-0.00242611
0.217333,-0.966587,-0.00239485
0.218667,-0.968475,-0.00242611
0.22,-0.970606,-0.00243236
0.221333,-0.972613,-0.00241361
0.222667,-0.974537,-0.00246363
0.224,-0.976469,-0.00247613
0.225333,-0.978625,-0.00250115
0.226667,-0.980475,-0.00251365
0.228,-0.982525,-0.00253866
0.229333,-0.98475,-0.00256993
0.230667,-0.98655,-0.00261995
0.232,-0.988469,-0.00254492
0.233333,-0.990519,-0.00255117
0.234667,-0.992594,-0.00256993
0.236,-0.994606,-0.00255742
0.237333,-0.9964,-0.00258869
0.238667,-0.998531,-0.00258869
0.24,-1.00074,-0.00260744
0.241333,-1.00257,-0.00264496
0.242667,-1.00435,-0.00260744
0.244,-1.00661,-0.00260119
0.245333,-1.00871,-0.00273875
0.246667,-1.01056,-0.00263871
0.248,-1.01247,-0.00266997
0.249333,-1.01461,-0.00263246
0.250667,-1.01653,-0.00270749
0.252,-1.01853,-0.00270124
0.253333,-1.02051,-0.00267623
0.254667,-1.0226,-0.00272625
0.256,-1.02456,-0.00274501
0.257333,-1.02659,-0.00277002
0.258667,-1.02863,-0.00275126
0.26,-1.03058,-0.00269498
0.261333,-1.03261,-0.00282629
0.262667,-1.03457,-0.00275751
0.264,-1.03635,-0.00268248
0.265333,-1.03852,-0.00270124
0.266667,-1.04049,-0.0028388
0.268,-1.04261,-0.00278252
0.269333,-1.04456,-0.00278878
0.270667,-1.04653,-0.00281379
0.272,-1.04856,-0.00285131
0.273333,-1.05056,-0.0028388
0.274667,-1.05234,-0.00283255
0.276,-1.05453,-0.00286381
0.277333,-1.05674,-0.00291383
0.278667,-1.05857,-0.00289508
0.28,-1.06047,-0.00287632
0.281333,-1.0625,-0.00285756
0.282667,-1.06451,-0.00290758
0.284,-1.06649,-0.00286381
0.285333,-1.06851,-0.00296386
0.286667,-1.07062,-0.00293259
0.288,-1.07259,-0.00291383
0.289333,-1.07457,-0.00292009
0.290667,-1.07651,-0.00291383
0.292,-1.0786,-0.00293885
0.293333,-1.08059,-0.00297011
0.294667,-1.08255,-0.00304514
0.296,-1.08457,-0.00298262
0.297333,-1.08666,-0.00297011
0.298667,-1.08851,-0.00299512
0.3,-1.09051,-0.00311393
0.301333,-1.09253,-0.00298887
0.302667,-1.09448,-0.00300137
0.304,-1.09646,-0.00300137
0.305333,-1.09861,-0.00297636
0.306667,-1.10053,-0.00299512
0.308,-1.10252,-0.00310142
0.309333,-1.10458,-0.00307641
0.310667,-1.10661,-0.00312643
0.312,-1.10847,-0.00310767
0.313333,-1.1105,-0.00303889
0.314667,-1.11276,-0.00315144
0.316,-1.11455,-0.00307016
0.317333,-1.11649,-0.00308891
0.318667,-1.1185,-0.00312643
0.32,-1.12063,-0.00304514
0.321333,-1.12252,-0.00319521
0.322667,-1.12442,-0.0031702
0.324,-1.12652,-0.00316395
0.325333,-1.12869,-0.00320772
0.326667,-1.13052,-0.00323273
0.328,-1.13235,-0.00323273
0.329333,-1.1346,-0.00315144
0.330667,-1.13666,-0.00323273
0.332,-1.13857,-0.00322648
0.333333,-1.14056,-0.00323273
0.334667,-1.14254,-0.00320772
0.336,-1.14446,-0.00323273
0.337333,-1.14651,-0.00323898
0.338667,-1.14852,-0.00319521
0.34,-1.15047,-0.00330151
0.341333,-1.15248,-0.0032765
0.342667,-1.15459,-0.00334528
0.344,-1.1565,-0.00332652
0.345333,-1.15852,-0.00330776
0.346667,-1.16069,-0.00328901
0.348,-1.16255,-0.00322648
0.349333,-1.16427,-0.00330151
0.350667,-1.16644,-0.00332652
0.352,-1.16852,-0.00333278
0.353333,-1.17054,-0.00334528
0.354667,-1.1725,-0.00325774
0.356,-1.17443,-0.00335779
0.357333,-1.17672,-0.00333278
0.358667,-1.17853,-0.00341406
0.36,-1.18047,-0.00339531
0.361333,-1.18257,-0.00336404
0.362667,-1.18484,-0.00347034
0.364,-1.18662,-0.00333903
0.365333,-1.18848,-0.00339531
0.366667,-1.19054,-0.00338905
0.368,-1.1925,-0.00342657
0.369333,-1.19447,-0.00348285
0.370667,-1.19649,-0.00342032
0.372,-1.19855,-0.00353912
0.373333,-1.20056,-0.00352036
0.374667,-1.20253,-0.00345158
0.376,-1.20441,-0.0035954
0.377333,-1.20655,-0.0035954
0.378667,-1.20857,-0.00349535
0.38,-1.21051,-0.00362041
0.381333,-1.21234,-0.00352036
0.382667,-1.21454,-0.00348285
0.384,-1.21641,-0.00352036
0.385333,-1.21851,-0.00357664
0.386667,-1.22048,-0.00363917
0.388,-1.2225,-0.00364542
0.389333,-1.2244,-0.00364542
0.390667,-1.22653,-0.00365167
0.392,-1.22836,-0.00367668
0.393333,-1.2305,-0.00368294
0.394667,-1.23277,-0.0037017
0.396,-1.23456,-0.00372671
0.397333,-1.23643,-0.00373296
0.398667,-1.23847,-0.00373921
0.4,-1.24082,-0.00375172
0.401333,-1.24246,-0.00373921
0.402667,-1.24447,-0.00373921
0.404,-1.24654,-0.00373296
0.405333,-1.24856,-0.00375797
0.406667,-1.25047,-0.00374547
0.408,-1.25238,-0.00378924
0.409333,-1.25452,-0.00391429
0.410667,-1.25649,-0.00385176
0.412,-1.25851,-0.00390179
0.413333,-1.26052,-0.00389553
0.414667,-1.26249,-0.00393305
0.416,-1.26477,-0.00397682
0.417333,-1.26651,-0.00396432
