100 mVs,SCAN RATE,99.9998
T,Vf,Im
3.74,-0.943048,-0.00178373
3.76,-0.944977,-0.00180249
3.78,-0.94686,-0.00177164
3.8,-0.94899,-0.00178915
3.82,-0.951154,-0.00179124
3.84,-0.952992,-0.00183042
3.86,-0.954807,-0.00176539
3.88,-0.956992,-0.00180041
3.9,-0.959221,-0.00180583
3.92,-0.960905,-0.00184376
3.94,-0.962915,-0.00185335
3.96,-0.964927,-0.00178415
3.98,-0.967003,-0.00183292
4.0,-0.968963,-0.00184293
4.02,-0.970858,-0.00182667
4.04,-0.973002,-0.00184001
4.06,-0.975133,-0.00188253
4.08,-0.976945,-0.00186544
4.1,-0.978822,-0.00182584
4.12,-0.980976,-0.0018471
4.14,-0.983172,-0.00189378
4.16,-0.984997,-0.00188211
4.18,-0.986911,-0.00189879
4.2,-0.98892,-0.00187461
4.22,-0.990955,-0.0019017
4.24,-0.99292,-0.00191588
4.26,-0.994847,-0.00191463
4.28,-0.996953,-0.00192505
4.3,-0.999109,-0.00191004
4.32,-1.00095,-0.00192046
4.34,-1.00279,-0.00193088
4.36,-1.00496,-0.00192922
4.38,-1.00722,-0.00195465
4.4,-1.00891,-0.00194881
4.42,-1.0107,-0.00195465
4.44,-1.01291,-0.00196465
4.46,-1.01493,-0.00196507
4.48,-1.01692,-0.00195339
4.5,-1.01888,-0.00197757
4.52,-1.02093,-0.00194131
4.54,-1.02312,-0.00198466
4.56,-1.02493,-0.00196131
4.58,-1.02682,-0.00198758
4.6,-1.02895,-0.00202134
4.62,-1.03122,-0.00199091
4.64,-1.03293,-0.0020005
4.66,-1.03507,-0.00203301
4.68,-1.03692,-0.00205636
4.7,-1.03892,-0.00203385
4.72,-1.0409,-0.00204385
4.74,-1.04291,-0.00204927
4.76,-1.04495,-0.00205094
4.78,-1.04708,-0.0020672
4.8,-1.04898,-0.00206803
4.82,-1.05085,-0.00205678
4.84,-1.05297,-0.00207678
4.86,-1.05518,-0.00209471
4.88,-1.05697,-0.00210972
4.9,-1.05891,-0.00210096
4.92,-1.06107,-0.0021168
4.94,-1.06289,-0.00206553
4.96,-1.0649,-0.00207595
4.98,-1.06691,-0.00214015
5.0,-1.06895,-0.00212931
5.02,-1.07101,-0.00213765
5.04,-1.07296,-0.00216391
5.06,-1.07489,-0.0021364
5.08,-1.07699,-0.00212389
5.1,-1.07916,-0.00214098
5.12,-1.08102,-0.00214181
5.14,-1.08293,-0.00214557
5.16,-1.08501,-0.00214973
5.18,-1.08724,-0.00215891
5.2,-1.08891,-0.00221893
5.22,-1.09092,-0.00221518
5.24,-1.09294,-0.00216599
5.26,-1.095,-0.0021564
5.28,-1.09698,-0.00216683
5.3,-1.09892,-0.00217099
5.32,-1.10099,-0.00214306
5.34,-1.1031,-0.00214765
5.36,-1.10498,-0.00219392
5.38,-1.1068,-0.00216474
5.4,-1.109,-0.00216016
