750 mVs,SCAN RATE,749.998
T,Vf,Im
0.002667,-0.613444,-0.000412689
0.005333,-0.615341,-0.000543999
0.008,-0.617209,-0.000653424
0.010667,-0.619341,-0.000700321
0.013333,-0.621366,-0.00079724
0.016,-0.623319,-0.000800367
0.018667,-0.625484,-0.000872274
0.021333,-0.627309,-0.000919171
0.024,-0.629263,-0.000962941
0.026667,-0.631284,-0.00097232
0.029333,-0.633231,-0.0009817
0.032,-0.635341,-0.000997332
0.034667,-0.637191,-0.00105986
0.037333,-0.639394,-0.00106611
0.04,-0.641094,-0.00105986
0.042667,-0.643359,-0.0011005
0.045333,-0.645287,-0.00116303
0.048,-0.647328,-0.00114115
0.050667,-0.649062,-0.00115365
0.053333,-0.651347,-0.00116929
0.056,-0.653231,-0.00119117
0.058667,-0.655247,-0.00117866
0.061333,-0.657206,-0.0011943
0.064,-0.6593,-0.00120368
0.066667,-0.66125,-0.0012537
0.069333,-0.663287,-0.00124432
0.072,-0.665072,-0.00124119
0.074667,-0.6673,-0.00122869
0.077333,-0.669303,-0.00126933
0.08,-0.671372,-0.0013006
0.082667,-0.673175,-0.00128809
0.085333,-0.675372,-0.00129434
0.088,-0.677478,-0.00130372
0.090667,-0.679287,-0.00130685
0.093333,-0.681231,-0.0013131
0.096,-0.683284,-0.00133186
0.098667,-0.685281,-0.00133811
0.101333,-0.687347,-0.00133186
0.104,-0.68915,-0.00134749
0.106667,-0.691312,-0.00134124
0.109333,-0.693278,-0.00132248
0.112,-0.695328,-0.00137876
0.114667,-0.697087,-0.00134124
0.117333,-0.699378,-0.00134749
0.12,-0.701453,-0.00134124
0.122667,-0.703425,-0.00134749
0.125333,-0.705219,-0.00136938
0.128,-0.707278,-0.00136312
0.130667,-0.709256,-0.00137876
0.133333,-0.711303,-0.00137876
0.136,-0.713231,-0.00141315
0.138667,-0.715294,-0.00140377
0.141333,-0.717278,-0.00141002
0.144,-0.71935,-0.00138188
0.146667,-0.721172,-0.00141315
0.149333,-0.723363,-0.00141002
0.152,-0.725403,-0.00141315
0.154667,-0.727325,-0.00142878
0.157333,-0.729056,-0.0014194
0.16,-0.731278,-0.0014194
0.162667,-0.733241,-0.00141315
0.165333,-0.735306,-0.00146317
0.168,-0.737237,-0.00145066
0.170667,-0.739306,-0.00143191
0.173333,-0.7413,-0.00143191
0.176,-0.743306,-0.00142565
0.178667,-0.745081,-0.00145379
0.181333,-0.747256,-0.00142565
0.184,-0.749331,-0.00148193
0.186667,-0.751341,-0.00144129
0.189333,-0.753234,-0.00143816
0.192,-0.75525,-0.00147568
0.194667,-0.757234,-0.00147568
0.197333,-0.759225,-0.00148506
0.2,-0.761241,-0.00149756
0.202667,-0.763234,-0.00153195
0.205333,-0.765181,-0.00151007
0.208,-0.767319,-0.00153508
0.210667,-0.769131,-0.00150381
0.213333,-0.771306,-0.00152883
0.216,-0.773319,-0.00151632
0.218667,-0.775316,-0.00151945
0.221333,-0.777081,-0.00154133
0.224,-0.779287,-0.00154758
0.226667,-0.781241,-0.00156322
0.229333,-0.783241,-0.00154133
0.232,-0.785244,-0.00154758
0.234667,-0.787269,-0.0015851
0.237333,-0.789222,-0.00161011
0.24,-0.791294,-0.00157885
0.242667,-0.793063,-0.00158197
0.245333,-0.795206,-0.00162887
0.248,-0.797134,-0.00159135
0.250667,-0.799325,-0.00162887
0.253333,-0.80105,-0.00159761
0.256,-0.803234,-0.00161637
0.258667,-0.805478,-0.00158197
0.261333,-0.807216,-0.00163825
0.264,-0.8092,-0.00161949
0.266667,-0.811216,-0.00166014
0.269333,-0.813241,-0.00167577
0.272,-0.815272,-0.00165388
0.274667,-0.817144,-0.00164763
0.277333,-0.819216,-0.00167264
0.28,-0.821159,-0.00165076
0.282667,-0.823256,-0.00166326
0.285333,-0.825075,-0.0016914
0.288,-0.827262,-0.00167264
0.290667,-0.829466,-0.00169765
0.293333,-0.831362,-0.0016914
0.296,-0.8332,-0.00172266
0.298667,-0.8352,-0.00169453
0.301333,-0.837191,-0.00169765
0.304,-0.839247,-0.00169765
0.306667,-0.841116,-0.00172892
0.309333,-0.843203,-0.00171641
0.312,-0.845187,-0.00173204
0.314667,-0.847263,-0.00170703
0.317333,-0.849087,-0.0017383
0.32,-0.8513,-0.00176643
0.322667,-0.8535,-0.00176018
0.325333,-0.855244,-0.00174455
0.328,-0.85705,-0.00176331
0.330667,-0.859203,-0.00177581
0.333333,-0.861206,-0.00176018
0.336,-0.863231,-0.00176956
0.338667,-0.865112,-0.0017977
0.341333,-0.867194,-0.00178832
0.344,-0.869212,-0.0017977
0.346667,-0.871266,-0.00180082
0.349333,-0.873078,-0.00181958
0.352,-0.875269,-0.00183834
0.354667,-0.877484,-0.00183834
0.357333,-0.879294,-0.00182584
0.36,-0.881141,-0.00182271
0.362667,-0.883203,-0.00183834
0.365333,-0.885194,-0.00183834
0.368,-0.887216,-0.00186023
0.370667,-0.889125,-0.00187586
0.373333,-0.891203,-0.00187273
0.376,-0.893081,-0.00188211
0.378667,-0.895269,-0.00188524
0.381333,-0.897094,-0.00191338
0.384,-0.899216,-0.00186335
0.386667,-0.901387,-0.00195089
0.389333,-0.903269,-0.00194464
0.392,-0.90505,-0.00193213
0.394667,-0.907269,-0.00190712
0.397333,-0.909187,-0.00198528
0.4,-0.911225,-0.00195402
0.402667,-0.913137,-0.00201342
0.405333,-0.915212,-0.00194777
0.408,-0.917072,-0.00196653
0.410667,-0.919253,-0.00196653
0.413333,-0.921062,-0.00199154
0.416,-0.923241,-0.00200404
0.418667,-0.925272,-0.00199466
0.421333,-0.927259,-0.00201342
0.424,-0.929087,-0.00199154
0.426667,-0.931303,-0.00208846
0.429333,-0.933578,-0.00203218
0.432,-0.935203,-0.00206032
0.434667,-0.937187,-0.00207282
0.437333,-0.939191,-0.00208533
0.44,-0.941141,-0.00208533
0.442667,-0.943247,-0.00209158
0.445333,-0.945084,-0.00209471
0.448,-0.947169,-0.00210722
0.450667,-0.94915,-0.00207908
0.453333,-0.951269,-0.00215099
0.456,-0.95305,-0.00211347
0.458667,-0.955269,-0.00210096
0.461333,-0.957481,-0.00213535
0.464,-0.959316,-0.00213848
0.466667,-0.961175,-0.00215724
0.469333,-0.963191,-0.00217287
0.472,-0.965184,-0.00220101
0.474667,-0.967237,-0.002176
0.477333,-0.969069,-0.0021885
0.48,-0.971194,-0.00217912
0.482667,-0.973081,-0.00218225
0.485333,-0.975284,-0.00219163
0.488,-0.977069,-0.00221977
0.490667,-0.979184,-0.002176
0.493333,-0.981406,-0.0021885
0.496,-0.983256,-0.00222289
0.498667,-0.98505,-0.00223853
0.501333,-0.987166,-0.00226666
0.504,-0.989216,-0.00225416
0.506667,-0.991241,-0.00226979
0.509333,-0.993134,-0.00226354
0.512,-0.995153,-0.0022823
0.514667,-0.997122,-0.00227604
0.517333,-0.999234,-0.00229167
0.52,-1.00108,-0.00232919
0.522667,-1.00316,-0.00227292
0.525333,-1.00507,-0.00226666
0.528,-1.00732,-0.00225416
0.530667,-1.00928,-0.00230105
0.533333,-1.01118,-0.00233232
0.536,-1.01319,-0.0023417
0.538667,-1.01522,-0.00232294
0.541333,-1.01709,-0.00237296
0.544,-1.0192,-0.00231981
0.546667,-1.02108,-0.00233857
0.549333,-1.02325,-0.0023417
0.552,-1.02506,-0.00236046
0.554667,-1.0272,-0.00236984
0.557333,-1.02919,-0.0023417
0.56,-1.03125,-0.00235733
0.562667,-1.03309,-0.00237296
0.565333,-1.03527,-0.00237921
0.568,-1.03716,-0.00237921
0.570667,-1.03919,-0.00242611
0.573333,-1.04114,-0.00241048
0.576,-1.04317,-0.00233857
0.578667,-1.04507,-0.00238234
0.581333,-1.04722,-0.00241048
0.584,-1.04906,-0.00243236
0.586667,-1.05118,-0.00242924
0.589333,-1.05306,-0.00240423
0.592,-1.05522,-0.00240423
0.594667,-1.05704,-0.00241673
0.597333,-1.05923,-0.00240735
0.6,-1.06119,-0.00245112
0.602667,-1.0632,-0.00250115
0.605333,-1.0651,-0.00245112
0.608,-1.06716,-0.00244487
0.610667,-1.06907,-0.0024605
0.613333,-1.07123,-0.00247301
0.616,-1.07306,-0.0025199
0.618667,-1.07523,-0.00252303
0.621333,-1.0771,-0.00255117
0.624,-1.07928,-0.0025199
0.626667,-1.08105,-0.00253241
0.629333,-1.08329,-0.00252928
0.632,-1.08522,-0.00256367
0.634667,-1.08733,-0.00255429
0.637333,-1.08912,-0.00257618
0.64,-1.09117,-0.00257305
0.642667,-1.09308,-0.00257305
0.645333,-1.09522,-0.00255429
0.648,-1.09706,-0.00255429
0.650667,-1.09917,-0.00257931
0.653333,-1.10105,-0.00256055
0.656,-1.10326,-0.00256993
0.658667,-1.10505,-0.00256367
0.661333,-1.10718,-0.00257931
0.664,-1.10919,-0.0025668
0.666667,-1.11128,-0.00258243
0.669333,-1.11305,-0.00264183
0.672,-1.11515,-0.00260432
0.674667,-1.11708,-0.00260744
0.677333,-1.11919,-0.00257931
0.68,-1.12106,-0.00259181
0.682667,-1.12321,-0.0026137
0.685333,-1.12505,-0.00262308
0.688,-1.12725,-0.00266372
0.690667,-1.12905,-0.0026137
0.693333,-1.13116,-0.00260744
0.696,-1.13316,-0.00263558
0.698667,-1.13525,-0.00261057
0.701333,-1.13704,-0.00263246
0.704,-1.13913,-0.00266685
0.706667,-1.1411,-0.00268873
0.709333,-1.14315,-0.00265121
0.712,-1.14507,-0.00270436
0.714667,-1.14717,-0.00266997
0.717333,-1.14905,-0.00276064
0.72,-1.15125,-0.00271374
0.722667,-1.15305,-0.00273563
0.725333,-1.15515,-0.00272312
0.728,-1.15707,-0.00269186
0.730667,-1.15926,-0.0027325
0.733333,-1.16105,-0.00276064
0.736,-1.16319,-0.0027919
0.738667,-1.1651,-0.00276377
0.741333,-1.16715,-0.00277002
0.744,-1.16905,-0.00272625
0.746667,-1.17113,-0.00274501
0.749333,-1.17305,-0.00279503
0.752,-1.17523,-0.00280128
0.754667,-1.17705,-0.00283255
0.757333,-1.17914,-0.00282004
0.76,-1.18105,-0.00278565
0.762667,-1.18323,-0.00277314
0.765333,-1.18506,-0.00280128
0.768,-1.18716,-0.00286381
0.770667,-1.18922,-0.00289508
0.773333,-1.19112,-0.00285443
0.776,-1.19309,-0.00282317
0.778667,-1.19511,-0.00283567
0.781333,-1.19707,-0.00287319
0.784,-1.19922,-0.00291696
0.786667,-1.20107,-0.00289508
0.789333,-1.20311,-0.00290758
0.792,-1.20508,-0.00293259
0.794667,-1.20725,-0.00288882
0.797333,-1.20905,-0.00290758
0.8,-1.21113,-0.00293885
0.802667,-1.21316,-0.00293572
0.805333,-1.21525,-0.00291071
0.808,-1.21712,-0.0029576
0.810667,-1.21918,-0.00291071
0.813333,-1.2211,-0.00293885
0.816,-1.22317,-0.00294197
0.818667,-1.22507,-0.00297011
0.821333,-1.22716,-0.00298574
0.824,-1.22907,-0.00300137
0.826667,-1.23122,-0.00298887
0.829333,-1.23308,-0.00299512
0.832,-1.23511,-0.00300763
0.834667,-1.23711,-0.00302326
0.837333,-1.23917,-0.00304202
0.84,-1.24104,-0.00304827
0.842667,-1.24311,-0.00302639
0.845333,-1.24513,-0.0030639
0.848,-1.24713,-0.00304202
0.850667,-1.24908,-0.0031108
0.853333,-1.25108,-0.00311393
0.856,-1.25306,-0.00308579
0.858667,-1.25525,-0.00312018
0.861333,-1.25704,-0.00310767
0.864,-1.2591,-0.0031108
0.866667,-1.26107,-0.00314519
0.869333,-1.26322,-0.00316708
0.872,-1.26509,-0.00317645
0.874667,-1.26705,-0.00317958
0.877333,-1.26909,-0.00311393
0.88,-1.27113,-0.00316082
0.882667,-1.27308,-0.0031702
0.885333,-1.2751,-0.00318271
0.888,-1.27705,-0.00320459
0.890667,-1.27923,-0.00316082
0.893333,-1.28106,-0.00322648
0.896,-1.28311,-0.00323898
0.898667,-1.28512,-0.00323586
0.901333,-1.28724,-0.00328275
0.904,-1.28904,-0.00331714
0.906667,-1.29116,-0.00331714
0.909333,-1.29311,-0.00330464
0.912,-1.29517,-0.00334528
0.914667,-1.29707,-0.00334528
0.917333,-1.29912,-0.00336717
0.92,-1.30109,-0.00340781
0.922667,-1.30324,-0.00339531
0.925333,-1.30505,-0.00337967
0.928,-1.30713,-0.00339843
0.930667,-1.30904,-0.00340156
0.933333,-1.31124,-0.00341406
0.936,-1.31304,-0.00348597
0.938667,-1.31511,-0.00343595
0.941333,-1.31733,-0.00343908
0.944,-1.31911,-0.00348597
0.946667,-1.32106,-0.00349222
0.949333,-1.32311,-0.00351724
0.952,-1.32504,-0.00352974
0.95467,-1.32721,-0.00358602
0.95733,-1.32904,-0.0035485
0.96,-1.33114,-0.00358289
0.96267,-1.33307,-0.00361416
0.96533,-1.33524,-0.00362979
0.968,-1.33704,-0.00362353
0.97067,-1.33918,-0.00364229
0.97333,-1.34128,-0.00367043
0.976,-1.34323,-0.00365167
0.97867,-1.34508,-0.00375172
0.98133,-1.34713,-0.00373921
0.984,-1.34906,-0.0037611
0.98667,-1.35121,-0.00376735
0.98933,-1.35304,-0.00378611
0.992,-1.35512,-0.00380799
0.99467,-1.35705,-0.00379861
0.99733,-1.35922,-0.0038674
1.0,-1.36102,-0.00388615
1.00267,-1.3631,-0.00391742
1.00533,-1.36507,-0.0039393
1.008,-1.36723,-0.00397682
1.01067,-1.36904,-0.00402059
1.01333,-1.37112,-0.00402684
1.016,-1.37304,-0.00407374
1.01867,-1.37513,-0.00414252
1.02133,-1.37704,-0.00420505
1.024,-1.37907,-0.00421443
1.02667,-1.38105,-0.00418317
1.02933,-1.38323,-0.0042582
1.032,-1.38504,-0.00431448
1.03467,-1.38707,-0.00428634
1.03733,-1.38905,-0.00440202
1.04,-1.39121,-0.00440514
1.04267,-1.393,-0.00441765
1.04533,-1.39487,-0.00445517
1.048,-1.39708,-0.00453645
1.05067,-1.3991,-0.00454583
1.05333,-1.40106,-0.00465213
1.056,-1.40305,-0.00469903
1.05867,-1.40504,-0.00471153
1.06133,-1.4072,-0.00477719
1.064,-1.40905,-0.0048616
1.06667,-1.41106,-0.00488661
1.06933,-1.41304,-0.00494914
1.072,-1.41526,-0.00498666
1.07467,-1.41705,-0.00503668
1.07733,-1.41917,-0.00513985
1.08,-1.42107,-0.00523365
1.08267,-1.42313,-0.00529305
1.08533,-1.42506,-0.00536183
1.088,-1.42707,-0.0054525
1.09067,-1.42905,-0.00548063
1.09333,-1.43117,-0.0055713
1.096,-1.43305,-0.00565259
1.09867,-1.43506,-0.00571512
1.10133,-1.43705,-0.00585893
1.104,-1.43916,-0.00594335
1.10667,-1.44105,-0.00603089
1.10933,-1.44313,-0.00610592
1.112,-1.44511,-0.00619659
1.11467,-1.44705,-0.00630289
1.11733,-1.44907,-0.00644358
1.12,-1.45105,-0.006553
1.12267,-1.45304,-0.00668431
1.12533,-1.4552,-0.00676247
1.128,-1.45702,-0.006825
1.13067,-1.4591,-0.00695006
1.13333,-1.46105,-0.00705636
1.136,-1.46321,-0.00716891
1.13867,-1.46505,-0.00726583
1.14133,-1.46706,-0.00736275
1.144,-1.46905,-0.00745654
1.14667,-1.47124,-0.00761286
1.14933,-1.47306,-0.00767226
1.152,-1.47508,-0.00782546
1.15467,-1.47707,-0.00794739
1.15733,-1.47911,-0.00804744
1.16,-1.48105,-0.00815061
1.16267,-1.48307,-0.00824127
1.16533,-1.48504,-0.00832881
1.168,-1.48723,-0.00842573
1.17067,-1.48904,-0.00856017
1.17333,-1.49112,-0.00861645
1.176,-1.49308,-0.00871337
1.17867,-1.49522,-0.00880403
1.18133,-1.49704,-0.00889157
1.184,-1.49907,-0.00899162
1.18667,-1.50102,-0.00912605
1.18933,-1.50308,-0.00921985
1.192,-1.50505,-0.00927925
1.19467,-1.50707,-0.00936679
1.19733,-1.50902,-0.00949185
1.2,-1.5112,-0.00963879
1.20267,-1.51305,-0.00973884
1.20533,-1.51502,-0.0098764
1.208,-1.51704,-0.00995456
1.21067,-1.51923,-0.0101109
1.21333,-1.52103,-0.0102453
1.216,-1.52304,-0.0103579
1.21867,-1.52504,-0.0105111
1.22133,-1.52707,-0.0106424
1.224,-1.52904,-0.0107643
1.22667,-1.53106,-0.0108987
1.22933,-1.53304,-0.0110457
1.232,-1.53515,-0.011177
1.23467,-1.53704,-0.0113364
1.23733,-1.53904,-0.0115303
1.24,-1.54107,-0.0116678
1.24267,-1.54323,-0.0117773
1.24533,-1.54505,-0.0119461
1.248,-1.54701,-0.0121337
1.25067,-1.54902,-0.0123056
1.25333,-1.55104,-0.0124713
1.256,-1.55303,-0.0125651
1.25867,-1.55505,-0.0128152
1.26133,-1.55702,-0.0129247
1.264,-1.55918,-0.0130747
1.26667,-1.56102,-0.0132436
1.26933,-1.56306,-0.0133749
1.272,-1.56505,-0.0135218
1.27467,-1.56713,-0.0136813
1.27733,-1.56905,-0.0138751
1.28,-1.57095,-0.0142096
1.28267,-1.57313,-0.0147411
1.28533,-1.57499,-0.0154352
1.288,-1.57696,-0.0164638
1.29067,-1.57901,-0.0177112
1.29333,-1.581,-0.0192025
1.296,-1.58309,-0.0209627
1.29867,-1.58502,-0.0229293
1.30133,-1.58694,-0.0250834
1.304,-1.58902,-0.0274407
1.30667,-1.59118,-0.029823
1.30933,-1.59302,-0.0323023
1.312,-1.59498,-0.0349316
1.31467,-1.5971,-0.0375297
1.31733,-1.59922,-0.040209
1.32,-1.60099,-0.0428071
1.32267,-1.60299,-0.0453958
1.32533,-1.60499,-0.0478344
1.328,-1.60709,-0.0502699
1.33067,-1.60902,-0.0526772
1.33333,-1.61103,-0.0550127
1.336,-1.61302,-0.0573012
1.33867,-1.61514,-0.059521
1.34133,-1.61702,-0.0615532
1.344,-1.61887,-0.0634541
1.34667,-1.62104,-0.0653862
1.34933,-1.6232,-0.0671057
1.352,-1.62499,-0.0688253
1.35467,-1.62696,-0.0702759
1.35733,-1.62897,-0.0715265
1.36,-1.63099,-0.0726083
1.36267,-1.63296,-0.0737338
1.36533,-1.63493,-0.0745435
1.368,-1.63701,-0.0753408
1.37067,-1.63892,-0.0759754
1.37333,-1.64093,-0.076335
1.376,-1.6428,-0.0764725
1.37867,-1.64496,-0.0766226
1.38133,-1.64688,-0.0765569
1.384,-1.64892,-0.0762943
1.38667,-1.65069,-0.0759848
1.38933,-1.65288,-0.0755033
1.392,-1.65487,-0.0748374
1.39467,-1.65687,-0.0741214
1.39733,-1.65889,-0.0734524
1.4,-1.66092,-0.0725707
1.40267,-1.66291,-0.0717172
1.40533,-1.66489,-0.0708137
1.408,-1.6668,-0.0697788
1.41067,-1.66894,-0.0687596
1.41333,-1.67119,-0.0678655
1.416,-1.67289,-0.066815
1.41867,-1.67475,-0.0658802
1.42133,-1.67688,-0.064986
1.424,-1.6789,-0.0639324
1.42667,-1.6809,-0.0629757
1.42933,-1.68292,-0.0622348
1.432,-1.68488,-0.0614281
1.43467,-1.68691,-0.0605152
1.43733,-1.68893,-0.0597868
1.44,-1.69091,-0.0589239
1.44267,-1.69298,-0.0581891
1.44533,-1.69504,-0.0575389
1.448,-1.69694,-0.0567823
1.45067,-1.69887,-0.0560538
1.45333,-1.70097,-0.0555067
1.456,-1.70286,-0.0549408
1.45867,-1.7049,-0.0543311
1.46133,-1.70689,-0.0537402
1.464,-1.70888,-0.0532119
1.46667,-1.71088,-0.0527179
1.46933,-1.71293,-0.0521927
1.472,-1.71496,-0.0517581
1.47467,-1.71693,-0.051311
1.47733,-1.71895,-0.0507576
1.48,-1.72092,-0.0504168
1.48267,-1.7228,-0.050051
1.48533,-1.72492,-0.0497634
1.488,-1.72718,-0.0496665
1.49067,-1.72889,-0.0490912
1.49333,-1.73087,-0.0487067
1.496,-1.73285,-0.0483409
1.49867,-1.73489,-0.0479438
1.50133,-1.73691,-0.0475405
1.504,-1.73888,-0.047131
1.50667,-1.74096,-0.0468683
1.50933,-1.74304,-0.0465151
1.512,-1.74495,-0.0461868
1.51467,-1.74674,-0.0467933
1.51733,-1.74897,-0.0462462
1.52,-1.75099,-0.0460648
1.52267,-1.75301,-0.0457991
1.52533,-1.75487,-0.0455771
