500 mVs,SCAN RATE,499.999
T,Vf,Im
0.004,-0.589854,-0.000366835
0.008,-0.592052,-0.000552336
0.012,-0.593987,-0.000610696
0.016,-0.596081,-0.000744091
0.02,-0.59785,-0.000775355
0.024,-0.6001,-0.000817041
0.028,-0.601933,-0.000881654
0.032,-0.603977,-0.000910834
0.036,-0.605915,-0.000946267
0.04,-0.608029,-0.000960857
0.044,-0.609867,-0.000983784
0.048,-0.61205,-0.00105673
0.052,-0.613854,-0.00105465
0.056,-0.616015,-0.00108591
0.06,-0.617854,-0.00110884
0.064,-0.62009,-0.00111926
0.068,-0.621854,-0.00115886
0.072,-0.624038,-0.00119638
0.076,-0.626137,-0.00117137
0.08,-0.627979,-0.00120263
0.084,-0.629904,-0.00121931
0.088,-0.631985,-0.00122348
0.092,-0.633867,-0.0012464
0.096,-0.636042,-0.00126516
0.1,-0.637854,-0.00128184
0.104,-0.639998,-0.00128809
0.108,-0.6419,-0.00129851
0.112,-0.644054,-0.00130268
0.116,-0.64585,-0.00131727
0.12,-0.648062,-0.00130685
0.124,-0.650012,-0.00130268
0.128,-0.652144,-0.00133186
0.132,-0.653935,-0.00131935
0.136,-0.655965,-0.0013527
0.14,-0.657946,-0.00133603
0.144,-0.660004,-0.00133811
0.148,-0.661854,-0.00136729
0.152,-0.663983,-0.00136521
0.156,-0.665923,-0.00136521
0.16,-0.668046,-0.00136938
0.164,-0.669875,-0.00137563
0.168,-0.672075,-0.00137355
0.172,-0.673988,-0.00138397
0.176,-0.676083,-0.0013798
0.18,-0.67785,-0.00140898
0.184,-0.679981,-0.00142148
0.188,-0.681967,-0.00143607
0.192,-0.684027,-0.00139022
0.196,-0.685933,-0.00141732
0.2,-0.687977,-0.00142982
0.204,-0.689908,-0.00141523
0.208,-0.692065,-0.00142565
0.212,-0.693862,-0.0014465
0.216,-0.695977,-0.0014465
0.22,-0.69791,-0.00144441
0.224,-0.700117,-0.00142565
0.228,-0.702019,-0.00146734
0.232,-0.703954,-0.00145066
0.236,-0.705971,-0.00145066
0.24,-0.707977,-0.00145066
0.244,-0.709946,-0.001459
0.248,-0.711956,-0.00142774
0.252,-0.713892,-0.00147151
0.256,-0.716037,-0.00147776
0.26,-0.717892,-0.00145066
0.264,-0.719969,-0.00147359
0.268,-0.721915,-0.0014465
0.272,-0.724065,-0.00148818
