1000 mVs,SCAN RATE,999.998
T,Vf,Im
0.002,-0.627962,-0.000412689
0.004,-0.629954,-0.000579432
0.006,-0.632017,-0.000650298
0.008,-0.633917,-0.000733669
0.01,-0.636033,-0.000829547
0.012,-0.637867,-0.000821209
0.014,-0.639958,-0.000892075
0.016,-0.641879,-0.000917087
0.018,-0.644029,-0.000962941
0.02,-0.64585,-0.000979615
0.022,-0.648042,-0.000983784
0.024,-0.649979,-0.000983784
0.026,-0.6521,-0.001088
0.028,-0.653883,-0.00110467
0.03,-0.656008,-0.00107966
0.032,-0.657875,-0.00114636
0.034,-0.66,-0.0011547
0.036,-0.661867,-0.00116303
0.038,-0.663962,-0.00117554
0.04,-0.665879,-0.00121722
0.042,-0.66805,-0.00120055
0.044,-0.669858,-0.0012464
0.046,-0.672,-0.00121306
0.048,-0.67405,-0.00125057
0.05,-0.676058,-0.00126725
0.052,-0.67785,-0.00125891
0.054,-0.679996,-0.00128392
0.056,-0.681908,-0.0013131
0.058,-0.683987,-0.00132144
0.06,-0.685867,-0.0013006
0.062,-0.687967,-0.00134228
0.064,-0.689892,-0.00134228
0.066,-0.692042,-0.0013131
0.068,-0.69385,-0.00131727
0.07,-0.695983,-0.00132561
0.072,-0.698033,-0.00133394
0.074,-0.7001,-0.00134228
0.076,-0.70195,-0.00134228
0.078,-0.703996,-0.00136312
0.08,-0.705954,-0.00132978
0.082,-0.707971,-0.00137146
0.084,-0.709912,-0.00140481
0.086,-0.711958,-0.00137563
0.088,-0.713854,-0.00141732
0.09,-0.716071,-0.00138814
0.092,-0.717892,-0.00140481
0.094,-0.719938,-0.00140898
0.096,-0.721921,-0.00142148
0.098,-0.724058,-0.00142565
0.1,-0.72585,-0.00143816
0.102,-0.728067,-0.00141732
0.104,-0.729929,-0.00145483
0.106,-0.731963,-0.00146317
0.108,-0.733954,-0.00146734
0.11,-0.736,-0.00147984
0.112,-0.737921,-0.00147568
0.114,-0.740038,-0.00149652
0.116,-0.74185,-0.00151319
0.118,-0.743958,-0.00149235
0.12,-0.74585,-0.00147568
0.122,-0.748067,-0.00147984
0.124,-0.749875,-0.00152153
0.126,-0.751958,-0.00151736
0.128,-0.754146,-0.00152987
0.13,-0.755929,-0.00151319
0.132,-0.757929,-0.00150069
0.134,-0.759921,-0.00151319
0.136,-0.761908,-0.00155071
0.138,-0.764,-0.00155905
0.14,-0.76585,-0.00155488
0.142,-0.767958,-0.00155071
0.144,-0.769875,-0.0015382
0.146,-0.772042,-0.00155071
0.148,-0.77385,-0.0015924
0.15,-0.775971,-0.00155905
0.152,-0.778008,-0.00158823
0.154,-0.780062,-0.00158823
0.156,-0.781958,-0.00164659
0.158,-0.783925,-0.0016049
0.16,-0.785896,-0.00161324
0.162,-0.788046,-0.00162991
0.164,-0.78985,-0.00161741
0.166,-0.791904,-0.00162991
0.168,-0.79385,-0.00162574
0.17,-0.796033,-0.00165492
0.172,-0.79785,-0.00164659
0.174,-0.799875,-0.00164242
0.176,-0.801925,-0.00165492
0.178,-0.804046,-0.00164659
0.18,-0.80585,-0.00169244
0.182,-0.807904,-0.00167577
0.184,-0.809908,-0.00162991
0.186,-0.811987,-0.0016716
0.188,-0.813863,-0.00170912
0.19,-0.815925,-0.00169661
0.192,-0.817858,-0.00167994
0.194,-0.82005,-0.00170078
0.196,-0.82185,-0.00172996
0.198,-0.823979,-0.00169244
0.2,-0.825954,-0.00172162
0.202,-0.828029,-0.00170495
0.204,-0.8299,-0.00171328
0.206,-0.831896,-0.00174246
0.208,-0.833896,-0.00171745
0.21,-0.835946,-0.00172579
0.212,-0.837858,-0.00172162
0.214,-0.839883,-0.00174246
0.216,-0.841858,-0.0017508
0.218,-0.844025,-0.0017383
0.22,-0.845842,-0.00174663
0.222,-0.847904,-0.00175914
0.224,-0.849867,-0.00176331
0.226,-0.852046,-0.00174246
0.228,-0.85385,-0.00177164
0.23,-0.856021,-0.00179666
0.232,-0.857837,-0.00180499
0.234,-0.859971,-0.00178415
0.236,-0.861854,-0.0018175
0.238,-0.863912,-0.0018175
0.24,-0.865854,-0.00185502
0.242,-0.868025,-0.0018175
0.244,-0.86985,-0.00185502
0.246,-0.871925,-0.00185918
