2000 mVs,SCAN RATE,2000.0
T,Vf,Im
0.001,-0.639092,-0.000325149
0.002,-0.640925,-0.000516903
0.003,-0.642958,-0.000650298
0.004,-0.645025,-0.000675309
0.005,-0.646975,-0.000850389
0.006,-0.64895,-0.000825378
0.007,-0.651008,-0.00096711
0.008,-0.652958,-0.000975447
0.009,-0.654933,-0.00100046
0.01,-0.65695,-0.00105882
0.011,-0.659025,-0.00103381
0.012,-0.660983,-0.0011005
0.013,-0.663192,-0.00119221
0.014,-0.665017,-0.00120055
0.015,-0.667167,-0.00134228
0.016,-0.669033,-0.00138397
0.017,-0.671208,-0.00125891
0.018,-0.673067,-0.00133394
0.019,-0.675125,-0.00135062
0.02,-0.677283,-0.0013923
0.021,-0.679067,-0.00136729
0.022,-0.68095,-0.00135896
0.023,-0.683117,-0.0013923
0.024,-0.685033,-0.00135062
0.025,-0.687042,-0.00147568
0.026,-0.688967,-0.00140064
0.027,-0.69085,-0.00149235
0.028,-0.693,-0.00146734
0.029,-0.695083,-0.00143399
0.03,-0.697033,-0.0015257
0.031,-0.698883,-0.00150902
0.032,-0.700958,-0.0015257
0.033,-0.703167,-0.00148401
0.034,-0.704925,-0.00160907
0.035,-0.706983,-0.0015924
0.036,-0.708942,-0.00154237
0.037,-0.710992,-0.00161741
0.038,-0.713,-0.00157572
0.039,-0.71495,-0.00166743
0.04,-0.717133,-0.00165076
0.041,-0.719133,-0.0015924
0.042,-0.721008,-0.00165909
0.043,-0.723133,-0.00162574
0.044,-0.72515,-0.00161741
0.045,-0.7272,-0.00171745
0.046,-0.729033,-0.00161741
0.047,-0.731025,-0.00166743
0.048,-0.733017,-0.00166743
0.049,-0.735058,-0.00163408
0.05,-0.736992,-0.00176748
0.051,-0.73895,-0.00165909
0.052,-0.740933,-0.0017508
0.053,-0.743125,-0.0017508
0.054,-0.744967,-0.00169244
0.055,-0.746783,-0.00176748
0.056,-0.748933,-0.00175914
0.057,-0.751208,-0.00174246
0.058,-0.752958,-0.00180082
0.059,-0.754783,-0.00175914
0.06,-0.756975,-0.00176748
0.061,-0.758967,-0.00180082
0.062,-0.760967,-0.0018175
0.063,-0.762975,-0.00180082
0.064,-0.764992,-0.00178415
0.065,-0.767133,-0.00185918
0.066,-0.769008,-0.00185918
0.067,-0.770933,-0.0018175
0.068,-0.773017,-0.00180916
0.069,-0.77525,-0.00190921
0.07,-0.777017,-0.00190087
