300 mVs,SCAN RATE,299.999
T,Vf,Im
0.006667,-0.639812,-0.000428946
0.013333,-0.64184,-0.000497728
0.02,-0.64404,-0.000556505
0.026667,-0.645847,-0.000597774
0.033333,-0.647954,-0.000615282
0.04,-0.649921,-0.00063404
0.046667,-0.652025,-0.000636542
0.053333,-0.653821,-0.00067656
0.06,-0.655822,-0.000692817
0.066667,-0.657799,-0.000722831
0.073333,-0.659931,-0.000736587
0.08,-0.661828,-0.000750344
0.086667,-0.663792,-0.000766601
0.093333,-0.665841,-0.000765351
0.1,-0.668007,-0.000817875
0.106667,-0.669801,-0.00080787
0.113333,-0.671816,-0.000824127
0.12,-0.67383,-0.000827879
0.126667,-0.676015,-0.000832881
0.133333,-0.677839,-0.000859143
0.14,-0.67985,-0.000857893
0.146667,-0.681812,-0.000859143
0.153333,-0.683901,-0.000881654
0.16,-0.685827,-0.000906665
0.166667,-0.68782,-0.000899162
0.173333,-0.689845,-0.000921672
0.18,-0.691922,-0.000921672
0.186667,-0.693846,-0.000944182
0.193333,-0.695791,-0.00093793
0.2,-0.697852,-0.000942932
0.206667,-0.700002,-0.000967943
0.213333,-0.701866,-0.00096044
0.22,-0.703631,-0.000979198
0.226667,-0.705799,-0.000959189
0.233333,-0.707865,-0.000987952
0.24,-0.709819,-0.000995456
0.246667,-0.711851,-0.000975447
0.253333,-0.713847,-0.000992955
0.26,-0.715889,-0.000997957
0.266667,-0.71784,-0.000990454
0.273333,-0.719796,-0.00101296
0.28,-0.721847,-0.000999208
0.286667,-0.723956,-0.00101672
0.293333,-0.725836,-0.00101547
0.3,-0.727798,-0.00102797
0.306667,-0.729785,-0.00102797
0.313333,-0.731804,-0.00104548
0.32,-0.733795,-0.00106049
0.326667,-0.73581,-0.00107549
0.333333,-0.737824,-0.00107424
0.34,-0.739872,-0.00106799
0.346667,-0.741841,-0.001088
0.353333,-0.743757,-0.001088
0.36,-0.745847,-0.0011005
0.366667,-0.747919,-0.00113427
0.373333,-0.749822,-0.00112927
0.38,-0.751641,-0.00112552
0.386667,-0.753847,-0.00114427
0.393333,-0.755786,-0.00115428
0.4,-0.757791,-0.00114928
0.406667,-0.759805,-0.00113927
0.413333,-0.761826,-0.00114928
0.42,-0.763828,-0.00117304
0.426667,-0.765805,-0.0012018
0.433333,-0.767697,-0.00117804
0.44,-0.769824,-0.0011943
0.446667,-0.771982,-0.0012018
0.453333,-0.773847,-0.00122556
0.46,-0.775732,-0.00125057
0.466667,-0.777831,-0.00124432
0.473333,-0.77998,-0.00121931
0.48,-0.781778,-0.0012118
0.486667,-0.783807,-0.00124307
0.493333,-0.785795,-0.00125182
0.5,-0.787855,-0.00124182
0.506667,-0.78982,-0.00123557
0.513333,-0.791786,-0.00127809
0.52,-0.79384,-0.00126683
0.526667,-0.795907,-0.00127809
0.533333,-0.797829,-0.00130435
0.54,-0.799674,-0.00129559
0.546667,-0.801835,-0.00130185
0.553333,-0.804034,-0.00129559
0.56,-0.805842,-0.0013131
0.566667,-0.807779,-0.00131685
0.573333,-0.809806,-0.00133061
0.58,-0.811824,-0.00134186
0.586667,-0.813809,-0.00134812
0.593333,-0.81581,-0.00135687
0.6,-0.817832,-0.00133936
0.606667,-0.819911,-0.00135687
0.613333,-0.821836,-0.00134437
0.62,-0.823811,-0.00136813
0.626667,-0.825829,-0.00138313
0.633333,-0.827894,-0.00137063
0.64,-0.829816,-0.00138313
0.646667,-0.831617,-0.00139064
0.653333,-0.83373,-0.00141315
0.66,-0.835737,-0.0014144
0.666667,-0.837766,-0.00140439
0.673333,-0.839792,-0.0014169
0.68,-0.841806,-0.00142315
0.686667,-0.843835,-0.00143441
0.693333,-0.845777,-0.0014244
0.7,-0.847731,-0.00149568
0.706667,-0.84979,-0.00148693
0.713333,-0.851986,-0.00149568
0.72,-0.853747,-0.00151569
0.726667,-0.855781,-0.00148068
0.733333,-0.857724,-0.00147943
0.74,-0.859722,-0.00150444
0.746667,-0.861727,-0.00150444
0.753333,-0.863741,-0.00148818
0.76,-0.865729,-0.00155196
0.766667,-0.867809,-0.00158823
0.773333,-0.869769,-0.00157322
0.78,-0.871705,-0.00157572
0.786667,-0.873784,-0.00161324
0.793333,-0.875889,-0.00154821
0.8,-0.877744,-0.00157697
0.806667,-0.879741,-0.00156447
0.813333,-0.88178,-0.00159198
0.82,-0.883736,-0.00159948
0.826667,-0.885766,-0.00160824
0.833333,-0.887759,-0.00167202
0.84,-0.889774,-0.001642
0.846667,-0.891815,-0.00166451
0.853333,-0.893772,-0.00166826
0.86,-0.895707,-0.00165326
0.866667,-0.897794,-0.00167702
0.873333,-0.899899,-0.00170078
0.88,-0.901806,-0.00168827
0.886667,-0.903642,-0.00170328
0.893333,-0.905809,-0.00171579
0.9,-0.908015,-0.00171954
0.906667,-0.909729,-0.00170578
0.913333,-0.911726,-0.00173579
0.92,-0.91375,-0.00173329
0.926667,-0.915812,-0.00179457
0.933333,-0.917775,-0.00179207
0.94,-0.919696,-0.00174455
0.946667,-0.921829,-0.00175705
0.95333,-0.923914,-0.0017533
0.96,-0.925791,-0.0017558
0.96667,-0.927636,-0.00179332
0.97333,-0.929816,-0.00178832
0.98,-0.93198,-0.00180458
0.98667,-0.933811,-0.00182208
0.99333,-0.935703,-0.00181083
1.0,-0.937731,-0.00187336
1.00667,-0.939752,-0.00184585
1.01333,-0.941759,-0.00183209
1.02,-0.943693,-0.00184459
1.02667,-0.94576,-0.00184459
1.03333,-0.947941,-0.00187961
1.04,-0.949746,-0.00186836
1.04667,-0.951596,-0.00189837
1.05333,-0.953794,-0.00189087
1.06,-0.956025,-0.00191713
1.06667,-0.957693,-0.00193464
1.07333,-0.959486,-0.00192463
1.08,-0.9617,-0.00194589
1.08667,-0.963714,-0.00197465
1.09333,-0.965711,-0.00197716
1.1,-0.967695,-0.00202343
1.10667,-0.969736,-0.00201967
1.11333,-0.971946,-0.00198841
1.12,-0.973751,-0.00198966
1.12667,-0.97567,-0.00201967
1.13333,-0.977761,-0.00201717
1.14,-0.980019,-0.00205594
1.14667,-0.98177,-0.00204219
1.15333,-0.983895,-0.00202843
1.16,-0.985731,-0.00204844
1.16667,-0.987772,-0.00204969
1.17333,-0.989719,-0.00205344
1.18,-0.991734,-0.00209471
1.18667,-0.99376,-0.00215474
1.19333,-0.995915,-0.00212597
1.2,-0.997821,-0.00215599
1.20667,-0.999656,-0.00210221
1.21333,-1.00181,-0.00212347
1.22,-1.00398,-0.00210972
1.22667,-1.0058,-0.00214723
1.23333,-1.00758,-0.00215599
1.24,-1.00992,-0.00215099
1.24667,-1.01174,-0.00216974
1.25333,-1.01371,-0.00214973
1.26,-1.01571,-0.00219601
1.26667,-1.01775,-0.002191
1.27333,-1.01983,-0.00220101
1.28,-1.02176,-0.00221226
1.28667,-1.02368,-0.00220726
1.29333,-1.0258,-0.00219726
1.3,-1.02795,-0.00220976
1.30667,-1.02979,-0.00224978
1.31333,-1.03171,-0.00226479
1.32,-1.03374,-0.00229355
1.32667,-1.03602,-0.00225228
1.33333,-1.03772,-0.00226604
1.34,-1.03974,-0.00227729
1.34667,-1.04172,-0.00233732
1.35333,-1.0438,-0.00237484
1.36,-1.04571,-0.00237484
1.36667,-1.0477,-0.00233357
1.37333,-1.04978,-0.00232481
1.38,-1.05181,-0.00231356
1.38667,-1.05374,-0.00233357
1.39333,-1.05556,-0.00236483
1.4,-1.05777,-0.0023961
1.40667,-1.05993,-0.00238234
1.41333,-1.06176,-0.00238109
1.42,-1.0637,-0.00237359
1.42667,-1.0657,-0.00239985
1.43333,-1.06774,-0.00241235
1.44,-1.06971,-0.00242111
1.44667,-1.07168,-0.00243236
1.45333,-1.07374,-0.00242986
1.46,-1.07572,-0.00244112
1.46667,-1.07778,-0.00249739
1.47333,-1.0796,-0.0025024
1.48,-1.08183,-0.0025124
1.48667,-1.0839,-0.00247613
1.49333,-1.08577,-0.00249864
1.5,-1.08746,-0.00256367
1.50667,-1.08972,-0.00249239
1.51333,-1.0917,-0.00249989
1.52,-1.09376,-0.00252366
1.52667,-1.09567,-0.00253616
1.53333,-1.0978,-0.00259619
1.54,-1.09964,-0.00259869
1.54667,-1.10176,-0.0026162
1.55333,-1.10359,-0.00260494
1.56,-1.10579,-0.00262995
1.56667,-1.10779,-0.0026187
1.57333,-1.1098,-0.00267748
1.58,-1.11168,-0.00269373
1.58667,-1.1137,-0.00270874
1.59333,-1.11567,-0.00261245
1.6,-1.1177,-0.00262745
1.60667,-1.11967,-0.00264121
1.61333,-1.12174,-0.00264121
1.62,-1.12365,-0.00265497
1.62667,-1.12575,-0.00266497
1.63333,-1.12758,-0.00279128
1.64,-1.12974,-0.00280253
1.64667,-1.1317,-0.00281879
1.65333,-1.13369,-0.00282629
1.66,-1.1355,-0.00274
1.66667,-1.13773,-0.00274501
1.67333,-1.13966,-0.00276502
1.68,-1.1417,-0.00281754
1.68667,-1.14365,-0.00278127
1.69333,-1.1457,-0.00281379
1.7,-1.14762,-0.00281004
1.70667,-1.14972,-0.00280503
1.71333,-1.15158,-0.00281754
1.72,-1.15373,-0.00281754
1.72667,-1.15575,-0.0028388
1.73333,-1.15775,-0.0028388
1.74,-1.15955,-0.00284755
1.74667,-1.16176,-0.00287507
1.75333,-1.16389,-0.00287131
1.76,-1.16569,-0.00296886
1.76667,-1.16768,-0.00298011
1.77333,-1.16968,-0.00299012
1.78,-1.17169,-0.00298512
1.78667,-1.17373,-0.00299137
1.79333,-1.1756,-0.00292759
1.8,-1.17778,-0.00299387
1.80667,-1.17975,-0.00299762
1.81333,-1.18176,-0.00293885
1.82,-1.18357,-0.00296511
1.82667,-1.18578,-0.00298137
1.83333,-1.18782,-0.00303139
1.84,-1.18978,-0.00308516
1.84667,-1.19167,-0.00311393
1.85333,-1.19369,-0.00308266
1.86,-1.1957,-0.00301263
1.86667,-1.19771,-0.00304139
1.87333,-1.19967,-0.00301888
1.88,-1.20175,-0.00305265
1.88667,-1.20369,-0.00307766
1.89333,-1.20574,-0.00309017
1.9,-1.20757,-0.00310142
1.90667,-1.20975,-0.00311643
1.91333,-1.21184,-0.0031602
1.92,-1.21372,-0.00310392
1.92667,-1.21552,-0.00316145
1.93333,-1.21767,-0.00324148
1.94,-1.21967,-0.00328651
1.94667,-1.22169,-0.003284
1.95333,-1.22367,-0.003269
1.96,-1.22568,-0.00322898
1.96667,-1.22769,-0.00324774
1.97333,-1.22969,-0.00323148
1.98,-1.23155,-0.00332027
1.98667,-1.2337,-0.00331402
1.99333,-1.23587,-0.00332027
2.0,-1.23771,-0.00326399
2.00667,-1.2396,-0.00327275
2.01333,-1.24167,-0.00330276
2.02,-1.24365,-0.00333778
2.02667,-1.24567,-0.00334153
2.03333,-1.24763,-0.00334403
2.04,-1.24969,-0.00336779
2.04667,-1.25167,-0.00338905
2.05333,-1.25374,-0.00339155
2.06,-1.25557,-0.00341907
2.06667,-1.25776,-0.0033803
2.07333,-1.25981,-0.00343657
2.08,-1.26171,-0.00343157
2.08667,-1.26349,-0.00343032
2.09333,-1.26576,-0.00340531
2.1,-1.26763,-0.00346409
2.10667,-1.26965,-0.00347284
2.11333,-1.27163,-0.00352036
2.12,-1.27366,-0.00356788
2.12667,-1.27564,-0.00357039
2.13333,-1.27766,-0.00353412
2.14,-1.2795,-0.00355163
2.14667,-1.28168,-0.0035979
2.15333,-1.28382,-0.00362791
2.16,-1.28571,-0.0036029
2.16667,-1.28758,-0.00361416
2.17333,-1.28969,-0.00393305
2.18,-1.29202,-0.00377548
2.18667,-1.29366,-0.00378548
2.19333,-1.29565,-0.00375172
2.2,-1.29767,-0.00382175
2.20667,-1.2997,-0.00375172
2.21333,-1.30172,-0.00378673
2.22,-1.30363,-0.00379799
2.22667,-1.30573,-0.00374046
2.23333,-1.30768,-0.00373296
2.24,-1.30969,-0.00373546
2.24667,-1.31153,-0.00377298
2.25333,-1.31376,-0.00381175
2.26,-1.31592,-0.00386677
2.26667,-1.31775,-0.00386677
2.27333,-1.31963,-0.00391804
2.28,-1.32165,-0.0039293
2.28667,-1.32364,-0.00391179
2.29333,-1.32565,-0.00397432
2.3,-1.32759,-0.00395806
2.30667,-1.32967,-0.00388178
2.31333,-1.33164,-0.00392805
2.32,-1.33368,-0.0039293
2.32667,-1.33555,-0.00398307
2.33333,-1.33769,-0.00399808
2.34,-1.33986,-0.00401559
2.34667,-1.3417,-0.00410063
2.35333,-1.34345,-0.00414565
2.36,-1.34564,-0.00418317
2.36667,-1.34759,-0.00422318
2.37333,-1.34966,-0.00417316
2.38,-1.35153,-0.0042582
2.38667,-1.35366,-0.00423319
2.39333,-1.3555,-0.00421068
2.4,-1.35771,-0.00419567
2.40667,-1.35947,-0.00418442
2.41333,-1.36168,-0.00424569
2.42,-1.36365,-0.00439201
2.42667,-1.3657,-0.00441327
2.43333,-1.3676,-0.0044808
2.44,-1.36962,-0.00446329
2.44667,-1.37161,-0.00454958
2.45333,-1.37362,-0.00451832
2.46,-1.37554,-0.00444078
2.46667,-1.37766,-0.0044808
2.47333,-1.37959,-0.00455208
2.48,-1.38172,-0.00455709
2.48667,-1.38356,-0.00468214
2.49333,-1.38567,-0.00464963
2.5,-1.38767,-0.00467589
2.50667,-1.38968,-0.00475968
2.51333,-1.39147,-0.00484222
2.52,-1.39372,-0.00489724
2.52667,-1.39563,-0.004921
2.53333,-1.39764,-0.00501355
2.54,-1.39962,-0.00506607
2.54667,-1.40164,-0.00512735
2.55333,-1.40358,-0.00516111
2.56,-1.40568,-0.0052299
2.56667,-1.4075,-0.00528367
2.57333,-1.40965,-0.0053537
2.58,-1.41153,-0.00539122
2.58667,-1.41372,-0.00540247
2.59333,-1.41546,-0.00549877
2.6,-1.41763,-0.0055588
2.60667,-1.41976,-0.00561632
2.61333,-1.42164,-0.00571012
2.62,-1.42359,-0.00576264
2.62667,-1.42564,-0.00582267
2.63333,-1.42754,-0.00591396
2.64,-1.42965,-0.0060015
2.64667,-1.43151,-0.00612656
2.65333,-1.4337,-0.00618908
2.66,-1.43562,-0.0063329
2.66667,-1.43765,-0.00642919
2.67333,-1.43947,-0.00651798
2.68,-1.44173,-0.00661053
2.68667,-1.44387,-0.00671307
2.69333,-1.44571,-0.00683563
2.7,-1.44761,-0.00694443
2.70667,-1.44964,-0.00704072
2.71333,-1.45162,-0.00714827
2.72,-1.45364,-0.0072033
2.72667,-1.45549,-0.0073121
2.73333,-1.45766,-0.00737838
2.74,-1.45951,-0.00747968
2.74667,-1.46167,-0.00756096
2.75333,-1.46346,-0.00763475
2.76,-1.46567,-0.0077548
2.76667,-1.46769,-0.00780107
2.77333,-1.46964,-0.0078686
2.78,-1.47146,-0.00798366
2.78667,-1.47362,-0.00806119
2.79333,-1.4756,-0.00812747
2.8,-1.47764,-0.00821751
2.80667,-1.47953,-0.00827129
2.81333,-1.48162,-0.00838009
2.82,-1.48361,-0.00822252
2.82667,-1.48565,-0.00837759
2.83333,-1.48747,-0.00839384
2.84,-1.48968,-0.0085089
2.84667,-1.49171,-0.00861645
2.85333,-1.49372,-0.0086277
2.86,-1.49565,-0.008744
2.86667,-1.49764,-0.00881279
2.87333,-1.4996,-0.0088403
2.88,-1.50164,-0.00894785
2.88667,-1.50355,-0.00903914
2.89333,-1.50561,-0.00914919
2.9,-1.50747,-0.00921297
2.90667,-1.50968,-0.0092755
2.91333,-1.51152,-0.00938305
2.92,-1.51363,-0.00933553
2.92667,-1.5156,-0.0094906
2.93333,-1.51766,-0.00952311
2.94,-1.51946,-0.00957564
2.94667,-1.52164,-0.00968068
2.95333,-1.5236,-0.00970069
2.96,-1.52562,-0.00985701
2.96667,-1.52757,-0.00993205
2.97333,-1.52961,-0.0100371
2.98,-1.53158,-0.0101984
2.98667,-1.53366,-0.0102422
2.99333,-1.53547,-0.010431
3.0,-1.53764,-0.0104535
3.00667,-1.53949,-0.0105548
3.01333,-1.54166,-0.0107637
3.02,-1.54346,-0.0107699
3.02667,-1.54566,-0.0108337
3.03333,-1.54774,-0.0109313
3.04,-1.54959,-0.0110513
3.04667,-1.55158,-0.0112589
3.05333,-1.55357,-0.0113114
3.06,-1.55552,-0.011439
3.06667,-1.55765,-0.011564
3.07333,-1.55947,-0.0117216
3.08,-1.56161,-0.0119955
3.08667,-1.56347,-0.0122018
3.09333,-1.56565,-0.0127283
3.1,-1.56745,-0.0134612
3.10667,-1.56962,-0.0144003
3.11333,-1.57164,-0.0158147
3.12,-1.57366,-0.0175743
3.12667,-1.57555,-0.0196528
3.13333,-1.57757,-0.0219663
3.14,-1.57955,-0.0242549
3.14667,-1.58161,-0.0264434
3.15333,-1.58355,-0.0287382
3.16,-1.5856,-0.0309179
3.16667,-1.58747,-0.0330714
3.17333,-1.58964,-0.0352449
3.18,-1.59148,-0.0374159
3.18667,-1.59357,-0.0394693
3.19333,-1.59557,-0.0414402
3.2,-1.59764,-0.0433111
3.20667,-1.59945,-0.0449431
3.21333,-1.60156,-0.0465101
3.22,-1.60355,-0.0479157
3.22667,-1.60559,-0.04908
3.23333,-1.6075,-0.0500942
3.24,-1.60952,-0.0509959
3.24667,-1.61147,-0.0516962
3.25333,-1.61363,-0.0522002
3.26,-1.61545,-0.0525391
3.26667,-1.61751,-0.0528092
3.27333,-1.61949,-0.0529718
3.28,-1.62165,-0.052928
3.28667,-1.62345,-0.052848
3.29333,-1.62557,-0.0526941
3.3,-1.62752,-0.0523527
3.30667,-1.62956,-0.0519876
3.31333,-1.63153,-0.0516224
3.32,-1.63353,-0.0511272
3.32667,-1.63548,-0.0505569
3.33333,-1.63763,-0.0500379
3.34,-1.63943,-0.0494301
3.34667,-1.64154,-0.0487373
3.35333,-1.64345,-0.0480933
3.36,-1.6456,-0.0474117
3.36667,-1.64745,-0.0467414
3.37333,-1.64954,-0.0461561
3.38,-1.65147,-0.0454671
3.38667,-1.65345,-0.0448193
3.39333,-1.65545,-0.0442165
3.4,-1.65749,-0.0435825
3.40667,-1.65945,-0.0430435
3.41333,-1.66159,-0.0425245
3.42,-1.66344,-0.0419542
3.42667,-1.66551,-0.0414315
3.43333,-1.66745,-0.0409
3.44,-1.66962,-0.0405073
3.44667,-1.67144,-0.0401209
3.45333,-1.67352,-0.0396131
3.46,-1.6756,-0.0392342
3.46667,-1.67745,-0.038784
3.47333,-1.67948,-0.0383801
3.48,-1.68146,-0.0380662
3.48667,-1.68345,-0.0375722
3.49333,-1.68555,-0.037172
3.5,-1.68744,-0.0367631
3.50667,-1.68948,-0.0363491
3.51333,-1.69144,-0.0358839
3.52,-1.69362,-0.0356426
3.52667,-1.69545,-0.03541
3.53333,-1.69753,-0.0350861
3.54,-1.69943,-0.034886
3.54667,-1.70165,-0.0345858
3.55333,-1.70349,-0.0341431
3.56,-1.70553,-0.0339393
3.56667,-1.70746,-0.0337254
3.57333,-1.70946,-0.0334503
3.58,-1.71144,-0.0332415
3.58667,-1.71346,-0.0328963
3.59333,-1.71545,-0.0327325
3.6,-1.71755,-0.0324311
3.60667,-1.71942,-0.0323236
3.61333,-1.72151,-0.0321697
3.62,-1.72341,-0.0319559
3.62667,-1.72539,-0.0318096
3.63333,-1.7274,-0.031557
3.64,-1.72947,-0.0313444
3.64667,-1.73146,-0.0311655
3.65333,-1.7335,-0.0308216
3.66,-1.73544,-0.0307578
3.66667,-1.73749,-0.0305577
3.67333,-1.73945,-0.0303314
3.68,-1.74154,-0.0303276
3.68667,-1.74343,-0.0299987
3.69333,-1.74547,-0.0298812
3.7,-1.74747,-0.0297586
3.70667,-1.74959,-0.0295723
3.71333,-1.75148,-0.029461
3.72,-1.75346,-0.0292446
3.72667,-1.75545,-0.0290846
3.73333,-1.75741,-0.0291046
3.74,-1.75942,-0.0288357
3.74667,-1.76146,-0.0287707
3.75333,-1.76346,-0.0285693
3.76,-1.76544,-0.0285243
3.76667,-1.76743,-0.0284755
3.77333,-1.76943,-0.028413
3.78,-1.77143,-0.0283267
3.78667,-1.7736,-0.0281604
3.79333,-1.77541,-0.0280641
3.8,-1.77763,-0.0278928
3.80667,-1.77947,-0.0278052
3.81333,-1.78141,-0.0276302
3.82,-1.78342,-0.0275001
3.82667,-1.78547,-0.0274363
3.83333,-1.78743,-0.0272737
3.84,-1.78952,-0.0271462
3.84667,-1.79142,-0.0272062
3.85333,-1.79347,-0.0270711
3.86,-1.79546,-0.0270236
3.86667,-1.79748,-0.0269448
3.87333,-1.79941,-0.0267485
3.88,-1.80153,-0.026731
3.88667,-1.80351,-0.0266059
3.89333,-1.80546,-0.0263958
3.9,-1.80746,-0.0263833
3.90667,-1.8095,-0.0262108
3.91333,-1.81142,-0.0261745
3.92,-1.81356,-0.0261507
3.92667,-1.81543,-0.026092
3.93333,-1.81746,-0.0259894
3.94,-1.81941,-0.0258931
3.94667,-1.82162,-0.0257718
3.95333,-1.82343,-0.025708
3.96,-1.82541,-0.0256142
3.96667,-1.82741,-0.0254829
3.97333,-1.82951,-0.0253341
3.98,-1.83147,-0.0253829
3.98667,-1.83346,-0.0252991
3.99333,-1.83544,-0.0253103
4.0,-1.83741,-0.0252428
4.00667,-1.83942,-0.0251628
4.01333,-1.84146,-0.0251027
4.02,-1.84345,-0.0250377
4.02667,-1.84555,-0.0249689
4.03333,-1.84744,-0.0249502
4.04,-1.84946,-0.0247813
4.04667,-1.85149,-0.0247563
4.05333,-1.85361,-0.0246938
4.06,-1.85544,-0.0246125
4.06667,-1.85746,-0.0246488
4.07333,-1.85946,-0.0246125
4.08,-1.86151,-0.0245475
4.08667,-1.86345,-0.02457
4.09333,-1.86547,-0.0245112
4.1,-1.86743,-0.0244174
4.10667,-1.86962,-0.0243724
4.11333,-1.87142,-0.0243249
4.12,-1.87348,-0.0242949
4.12667,-1.87546,-0.0241811
4.13333,-1.87758,-0.0241223
4.14,-1.87943,-0.024111
4.14667,-1.88143,-0.0241273
4.15333,-1.88343,-0.0240573
4.16,-1.88542,-0.0240723
4.16667,-1.88743,-0.024026
4.17333,-1.88942,-0.0240235
4.18,-1.89143,-0.0239385
4.18667,-1.89346,-0.0238847
4.19333,-1.89543,-0.0238097
4.2,-1.89746,-0.0238084
4.20667,-1.89944,-0.0236959
4.21333,-1.90161,-0.0236658
4.22,-1.90344,-0.0237734
4.22667,-1.90551,-0.0236921
4.23333,-1.90746,-0.0235846
4.24,-1.90941,-0.0235458
4.24667,-1.91144,-0.023522
4.25333,-1.91345,-0.0235821
4.26,-1.91544,-0.0235921
4.26667,-1.91758,-0.0234908
4.27333,-1.91945,-0.0233945
4.28,-1.92141,-0.0234845
4.28667,-1.92344,-0.0234082
4.29333,-1.92557,-0.023402
4.3,-1.92743,-0.0233757
4.30667,-1.92948,-0.0232444
4.31333,-1.93156,-0.0232244
4.32,-1.93344,-0.0231569
4.32667,-1.93544,-0.0230668
4.33333,-1.93746,-0.0230355
4.34,-1.93944,-0.0230005
4.34667,-1.94154,-0.0230843
4.35333,-1.94343,-0.0229918
4.36,-1.9455,-0.022973
4.36667,-1.94744,-0.0229455
