OCP06
T,Vf
0.508333,0.323274
1.01667,0.318821
1.525,0.291748
2.03333,0.21842
2.54167,0.0999522
3.05,-0.030006
3.55833,-0.13538
4.06667,-0.203037
4.575,-0.239967
5.08333,-0.259081
5.59167,-0.270242
6.1,-0.278527
6.60833,-0.285781
7.11667,-0.292417
7.625,-0.298474
8.13333,-0.303989
8.64167,-0.309026
9.15,-0.313633
9.6583,-0.317845
10.1667,-0.321717
10.675,-0.325322
11.1833,-0.328721
11.6917,-0.33195
12.2,-0.335021
12.7083,-0.33792
13.2167,-0.340637
13.725,-0.343187
14.2333,-0.345608
14.7417,-0.34793
15.25,-0.350161
15.7583,-0.352294
16.2667,-0.354331
16.775,-0.356298
17.2833,-0.358216
17.7917,-0.360096
18.3,-0.361933
18.8083,-0.363714
19.3167,-0.365428
19.825,-0.367076
20.3333,-0.368658
20.8417,-0.370167
21.35,-0.37162
21.8583,-0.373053
22.3667,-0.374483
22.875,-0.375904
23.3833,-0.377308
23.8917,-0.378699
24.4,-0.380081
24.9083,-0.381433
25.4167,-0.382739
25.925,-0.384007
26.4333,-0.385264
26.9417,-0.386516
27.45,-0.387735
27.9583,-0.388913
28.4667,-0.390084
28.975,-0.391265
29.4833,-0.392427
29.9917,-0.393559
30.5,-0.394663
31.0083,-0.395727
31.5167,-0.396745
32.025,-0.397743
32.5333,-0.398743
33.0417,-0.399745
33.55,-0.400734
34.0583,-0.40171
34.5667,-0.402673
35.075,-0.403619
35.5833,-0.404546
36.0917,-0.40545
36.6,-0.406333
37.1083,-0.407199
37.6167,-0.408056
38.125,-0.408913
38.6333,-0.40979
39.1417,-0.410699
39.65,-0.411631
40.1583,-0.412564
40.6667,-0.413483
41.175,-0.414382
41.6833,-0.415263
42.1917,-0.416143
42.7,-0.417031
43.2083,-0.417927
43.7167,-0.418828
44.225,-0.419721
44.7333,-0.420571
45.2417,-0.421365
45.75,-0.422137
46.2583,-0.422929
46.7667,-0.423749
47.275,-0.424576
47.7833,-0.425393
48.2917,-0.42619
48.8,-0.426961
49.3083,-0.42771
49.8167,-0.428441
50.325,-0.429164
50.8333,-0.42989
51.3417,-0.430628
51.85,-0.431375
52.3583,-0.432121
52.8667,-0.432864
53.375,-0.433606
53.8833,-0.434344
54.3917,-0.435063
54.9,-0.435748
55.4083,-0.436409
55.9167,-0.437074
56.425,-0.437755
56.9333,-0.438446
57.4417,-0.439135
57.95,-0.43981
58.4583,-0.440463
58.9667,-0.441103
59.475,-0.441749
59.9833,-0.442411
60.4917,-0.443067
61.0,-0.443688
61.5083,-0.444283
62.0167,-0.444883
62.525,-0.445495
63.0333,-0.446099
63.5417,-0.446664
64.05,-0.447183
64.5583,-0.447696
65.0667,-0.448234
65.575,-0.448793
66.0833,-0.449349
66.5917,-0.449892
67.1,-0.450426
67.6083,-0.45096
68.1167,-0.451502
68.625,-0.45205
69.1333,-0.452598
69.6417,-0.453144
70.15,-0.453689
70.6583,-0.454232
71.1667,-0.454775
71.675,-0.455321
72.1833,-0.455869
72.6917,-0.456412
73.2,-0.456946
73.7083,-0.457471
74.2167,-0.457994
74.725,-0.45852
75.2333,-0.459045
75.7417,-0.459565
76.25,-0.460077
76.7583,-0.460581
77.2667,-0.461079
77.775,-0.461573
78.2833,-0.462073
78.7917,-0.462576
79.3,-0.463075
79.8083,-0.463581
80.3167,-0.464096
80.825,-0.464601
81.3333,-0.465088
81.8417,-0.465559
82.35,-0.466005
