OCP02
T,Vf
0.508333,0.466639
1.01667,0.462914
1.525,0.440539
2.03333,0.380369
2.54167,0.280592
3.05,0.158896
3.55833,0.0360879
4.06667,-0.0706282
4.575,-0.14966
5.08333,-0.19979
5.59167,-0.228428
6.1,-0.244795
6.60833,-0.255573
7.11667,-0.264229
7.625,-0.272072
8.13333,-0.279415
8.64167,-0.286257
9.15,-0.292566
9.6583,-0.298362
10.1667,-0.303712
10.675,-0.308681
11.1833,-0.313306
11.6917,-0.317604
12.2,-0.321592
12.7083,-0.325299
13.2167,-0.328759
13.725,-0.332012
14.2333,-0.335091
14.7417,-0.338004
15.25,-0.340738
15.7583,-0.343294
16.2667,-0.345704
16.775,-0.348013
17.2833,-0.350238
17.7917,-0.352375
18.3,-0.354426
18.8083,-0.356417
19.3167,-0.358365
19.825,-0.360266
20.3333,-0.362098
20.8417,-0.363849
21.35,-0.365529
21.8583,-0.367165
22.3667,-0.368774
22.875,-0.370359
23.3833,-0.371926
23.8917,-0.373475
24.4,-0.374996
24.9083,-0.376476
25.4167,-0.377914
25.925,-0.379318
26.4333,-0.380689
26.9417,-0.382045
27.45,-0.383404
27.9583,-0.384755
28.4667,-0.386055
28.975,-0.387293
29.4833,-0.388519
29.9917,-0.389773
30.5,-0.391041
31.0083,-0.392285
31.5167,-0.393497
32.025,-0.394674
32.5333,-0.395805
33.0417,-0.396895
33.55,-0.397966
34.0583,-0.399027
34.5667,-0.400083
35.075,-0.401136
35.5833,-0.402177
36.0917,-0.403199
36.6,-0.404206
37.1083,-0.405204
37.6167,-0.406189
38.125,-0.407161
38.6333,-0.408134
39.1417,-0.409122
39.65,-0.41011
40.1583,-0.411069
40.6667,-0.411992
41.175,-0.412891
41.6833,-0.413781
42.1917,-0.414671
42.7,-0.415571
43.2083,-0.416474
43.7167,-0.417368
44.225,-0.418243
44.7333,-0.419096
45.2417,-0.419925
45.75,-0.420719
46.2583,-0.421478
46.7667,-0.422226
47.275,-0.422985
47.7833,-0.423758
48.2917,-0.42454
48.8,-0.425324
49.3083,-0.426098
49.8167,-0.426856
50.325,-0.427599
50.8333,-0.428335
51.3417,-0.429072
51.85,-0.429816
52.3583,-0.430565
52.8667,-0.43131
53.375,-0.432041
53.8833,-0.432755
54.3917,-0.433445
54.9,-0.434103
55.4083,-0.434742
55.9167,-0.435392
56.425,-0.436062
56.9333,-0.436728
57.4417,-0.437362
57.95,-0.437974
58.4583,-0.438599
58.9667,-0.439248
59.475,-0.439899
59.9833,-0.440524
60.4917,-0.441126
61.0,-0.441727
61.5083,-0.442337
62.0167,-0.44295
62.525,-0.443562
63.0333,-0.444177
63.5417,-0.444794
64.05,-0.445392
64.5583,-0.445965
65.0667,-0.446515
65.575,-0.447047
66.0833,-0.447582
66.5917,-0.448145
67.1,-0.448732
67.6083,-0.449324
68.1167,-0.449914
68.625,-0.450502
69.1333,-0.45108
69.6417,-0.451648
70.15,-0.452213
70.6583,-0.45278
71.1667,-0.453345
71.675,-0.453914
72.1833,-0.454485
72.6917,-0.455049
73.2,-0.455606
73.7083,-0.456163
74.2167,-0.456716
74.725,-0.457268
75.2333,-0.457823
75.7417,-0.458379
76.25,-0.458931
76.7583,-0.459476
77.2667,-0.460015
77.775,-0.460549
78.2833,-0.46108
78.7917,-0.461607
79.3,-0.462133
79.8083,-0.462655
80.3167,-0.463169
80.825,-0.463682
81.3333,-0.464191
81.8417,-0.46469
82.35,-0.465189
82.8583,-0.46569
83.3667,-0.466159
83.875,-0.466585
84.3833,-0.467
84.8917,-0.46743
85.4,-0.467872
85.9083,-0.468331
86.4167,-0.468806
86.925,-0.469275
87.4333,-0.469731
87.9417,-0.470189
88.45,-0.470655
88.9583,-0.471132
89.4667,-0.471622
89.975,-0.472116
90.4833,-0.47258
90.9917,-0.473008
91.5,-0.473428
92.0083,-0.473866
92.5167,-0.474319
93.025,-0.474783
93.5333,-0.475252
94.0417,-0.475716
94.55,-0.476167
95.058,-0.47661
95.567,-0.477045
96.075,-0.477471
96.583,-0.477888
97.092,-0.478303
97.6,-0.47872
98.108,-0.479137
98.617,-0.479557
99.125,-0.479978
99.633,-0.480398
100.142,-0.480821
