OCP03
T,Vf
156.567,-0.488024
157.075,-0.488364
157.583,-0.48871
158.092,-0.48906
158.6,-0.489435
159.108,-0.489842
159.617,-0.490262
160.125,-0.490686
160.633,-0.491112
161.142,-0.491523
161.65,-0.491885
162.158,-0.492195
162.667,-0.492489
163.175,-0.492799
163.683,-0.493118
164.192,-0.493408
164.7,-0.493651
165.208,-0.493876
165.717,-0.494127
166.225,-0.49442
166.733,-0.49473
167.242,-0.495008
167.75,-0.495231
168.258,-0.495433
168.767,-0.495665
169.275,-0.495952
169.783,-0.496264
170.292,-0.496548
170.8,-0.496792
171.308,-0.497026
171.817,-0.497273
172.325,-0.497537
172.833,-0.497815
173.342,-0.498081
173.85,-0.498301
174.358,-0.498471
174.867,-0.498634
175.375,-0.498839
175.883,-0.499094
176.392,-0.499378
176.9,-0.499667
177.408,-0.499952
177.917,-0.500233
178.425,-0.500518
178.933,-0.500812
179.442,-0.501117
179.95,-0.501425
180.458,-0.501739
180.967,-0.502062
181.475,-0.5024
181.983,-0.502747
182.492,-0.503093
183.0,-0.50343
183.508,-0.503756
184.017,-0.504078
184.525,-0.504395
185.033,-0.504701
185.542,-0.505001
186.05,-0.505311
186.558,-0.505641
187.067,-0.50599
187.575,-0.506344
188.083,-0.506687
188.592,-0.506996
189.1,-0.507265
189.608,-0.507504
190.117,-0.507722
190.625,-0.507907
191.133,-0.508058
191.642,-0.508191
192.15,-0.508337
192.658,-0.508509
193.167,-0.508698
193.675,-0.508891
194.183,-0.509091
194.692,-0.509298
195.2,-0.509491
195.708,-0.50966
196.217,-0.509825
196.725,-0.510016
197.233,-0.510241
197.742,-0.510491
198.25,-0.510751
198.758,-0.510997
199.267,-0.511204
199.775,-0.511384
200.283,-0.511574
200.792,-0.511793
201.3,-0.512033
201.808,-0.51228
202.317,-0.51251
202.825,-0.512694
203.333,-0.512832
203.842,-0.512959
204.35,-0.513117
204.858,-0.513322
205.367,-0.513558
205.875,-0.513808
206.383,-0.514056
206.892,-0.514282
207.4,-0.514478
207.908,-0.514666
208.417,-0.514875
208.925,-0.515116
209.433,-0.515383
209.942,-0.515661
210.45,-0.515928
210.958,-0.516186
211.467,-0.516459
211.975,-0.516761
212.483,-0.517076
212.992,-0.517368
213.5,-0.517619
214.008,-0.517857
214.517,-0.518132
215.025,-0.518458
215.533,-0.518802
216.042,-0.519125
216.55,-0.519426
217.058,-0.519723
217.567,-0.52002
218.075,-0.520305
218.583,-0.520548
219.092,-0.520724
219.6,-0.520847
220.108,-0.520964
220.617,-0.521115
221.125,-0.521304
221.633,-0.521512
222.142,-0.521735
222.65,-0.52197
223.158,-0.522195
223.667,-0.522399
224.175,-0.522606
224.683,-0.52284
225.192,-0.52311
225.7,-0.523409
226.208,-0.523705
226.717,-0.523963
227.225,-0.524194
227.733,-0.52444
228.242,-0.52472
228.75,-0.525022
229.258,-0.52533
229.767,-0.525639
230.275,-0.525948
230.783,-0.526243
231.292,-0.526512
231.8,-0.526752
232.308,-0.526969
232.817,-0.527172
233.325,-0.527375
233.833,-0.527587
234.342,-0.527794
234.85,-0.527977
235.358,-0.528131
235.867,-0.528277
236.375,-0.528444
236.883,-0.528633
237.392,-0.528836
237.9,-0.529054
238.408,-0.529289
238.917,-0.529533
239.425,-0.529782
239.933,-0.530031
240.442,-0.530264
240.95,-0.530466
241.458,-0.530652
241.967,-0.530848
242.475,-0.531069
242.983,-0.531321
243.492,-0.531596
244.0,-0.531868
244.508,-0.532117
245.017,-0.53235
245.525,-0.532575
246.033,-0.532784
246.542,-0.532979
247.05,-0.533177
247.558,-0.533375
248.067,-0.533557
248.575,-0.53372
249.083,-0.533888
249.592,-0.53408
250.1,-0.534293
250.608,-0.534518
251.117,-0.534751
251.625,-0.534976
252.133,-0.53517
252.642,-0.53533
253.15,-0.535487
253.658,-0.535669
254.167,-0.535877
254.675,-0.536101
255.183,-0.536333
255.692,-0.536556
256.2,-0.53674
256.708,-0.536885
257.217,-0.537019
257.725,-0.537179
258.233,-0.53737
258.742,-0.537564
259.25,-0.537747
259.758,-0.537929
260.267,-0.538118
260.775,-0.538295
261.283,-0.538446
261.792,-0.538585
262.3,-0.538745
262.808,-0.538938
263.317,-0.539151
263.825,-0.539372
264.333,-0.539594
264.842,-0.539795
265.35,-0.539949
265.858,-0.540058
266.367,-0.540142
266.875,-0.540222
267.383,-0.540325
267.892,-0.540472
268.4,-0.540649
268.908,-0.540824
269.417,-0.540989
269.925,-0.541164
270.433,-0.541347
270.942,-0.541514
271.45,-0.54165
271.958,-0.541772
272.467,-0.541913
272.975,-0.542091
273.483,-0.542292
273.992,-0.542498
274.5,-0.542704
275.008,-0.542903
275.517,-0.543077
276.025,-0.543217
276.533,-0.54333
277.042,-0.543441
277.55,-0.543586
278.058,-0.543782
278.567,-0.544012
279.075,-0.544255
279.583,-0.544488
280.092,-0.544685
280.6,-0.544837
281.108,-0.544971
281.617,-0.545128
282.125,-0.545321
282.633,-0.54554
283.142,-0.545779
283.65,-0.546027
284.158,-0.546253
284.667,-0.546436
