OCP01
T,Vf
0.508333,0.460468
1.01667,0.458595
1.525,0.445381
2.03333,0.404022
2.54167,0.325695
3.05,0.220395
3.55833,0.108329
4.06667,0.00845833
4.575,-0.0680232
5.08333,-0.121416
5.59167,-0.158587
6.1,-0.18521
6.60833,-0.204384
7.11667,-0.218293
7.625,-0.228811
8.13333,-0.237393
8.64167,-0.24496
9.15,-0.25196
9.6583,-0.258546
10.1667,-0.264737
10.675,-0.270513
11.1833,-0.275871
11.6917,-0.280829
12.2,-0.285402
12.7083,-0.289603
13.2167,-0.293473
13.725,-0.297074
14.2333,-0.300459
14.7417,-0.303664
15.25,-0.306724
15.7583,-0.30966
16.2667,-0.31246
16.775,-0.315102
17.2833,-0.317596
17.7917,-0.319982
18.3,-0.32229
18.8083,-0.324525
19.3167,-0.326676
19.825,-0.328747
20.3333,-0.330766
20.8417,-0.332755
21.35,-0.334702
21.8583,-0.336582
22.3667,-0.338395
22.875,-0.340166
23.3833,-0.341905
23.8917,-0.343596
24.4,-0.345235
24.9083,-0.346832
25.4167,-0.348388
25.925,-0.349906
26.4333,-0.351399
26.9417,-0.352881
27.45,-0.354347
27.9583,-0.355777
28.4667,-0.357152
28.975,-0.358472
29.4833,-0.359757
29.9917,-0.361025
30.5,-0.362272
31.0083,-0.363483
31.5167,-0.364664
32.025,-0.365833
32.5333,-0.366984
33.0417,-0.3681
33.55,-0.369175
34.0583,-0.370206
34.5667,-0.371205
35.075,-0.372202
35.5833,-0.373218
36.0917,-0.37425
36.6,-0.37529
37.1083,-0.376327
37.6167,-0.377348
38.125,-0.378347
38.6333,-0.379329
39.1417,-0.38031
39.65,-0.381287
40.1583,-0.382243
40.6667,-0.383167
41.175,-0.384057
41.6833,-0.384921
42.1917,-0.385768
42.7,-0.386612
43.2083,-0.38747
43.7167,-0.388342
44.225,-0.389215
44.7333,-0.390077
45.2417,-0.390932
45.75,-0.391782
46.2583,-0.392629
46.7667,-0.393473
47.275,-0.394309
47.7833,-0.395111
48.2917,-0.395865
48.8,-0.396594
49.3083,-0.397323
49.8167,-0.39806
50.325,-0.398798
50.8333,-0.399535
51.3417,-0.40027
51.85,-0.401004
52.3583,-0.401736
52.8667,-0.402467
53.375,-0.403196
53.8833,-0.403919
54.3917,-0.404624
54.9,-0.405301
55.4083,-0.405958
55.9167,-0.406619
56.425,-0.407295
56.9333,-0.407969
57.4417,-0.408622
