OCP07
T,Vf
0.508333,0.308279
1.01667,0.301631
1.525,0.264848
2.03333,0.175004
2.54167,0.044517
3.05,-0.0850823
3.55833,-0.181765
4.06667,-0.23984
4.575,-0.269915
5.08333,-0.285038
5.59167,-0.293941
6.1,-0.300707
6.60833,-0.306689
7.11667,-0.312171
7.625,-0.317181
8.13333,-0.321735
8.64167,-0.325874
9.15,-0.32964
9.6583,-0.333078
10.1667,-0.336233
10.675,-0.339166
11.1833,-0.34193
11.6917,-0.344556
12.2,-0.347065
12.7083,-0.349478
13.2167,-0.3518
13.725,-0.354033
14.2333,-0.356191
14.7417,-0.358285
15.25,-0.360296
15.7583,-0.362206
16.2667,-0.364035
16.775,-0.365828
17.2833,-0.367605
17.7917,-0.369348
18.3,-0.371045
18.8083,-0.372698
19.3167,-0.374317
19.825,-0.375904
20.3333,-0.377454
20.8417,-0.37896
21.35,-0.380429
21.8583,-0.381886
22.3667,-0.383348
22.875,-0.384811
23.3833,-0.386245
23.8917,-0.387625
24.4,-0.388947
24.9083,-0.390238
25.4167,-0.391539
25.925,-0.39286
26.4333,-0.394154
26.9417,-0.395377
27.45,-0.396549
27.9583,-0.397713
28.4667,-0.39888
28.975,-0.400041
29.4833,-0.401192
29.9917,-0.402331
30.5,-0.403458
31.0083,-0.404569
31.5167,-0.405656
32.025,-0.40672
32.5333,-0.407767
33.0417,-0.408802
33.55,-0.409832
34.0583,-0.41086
34.5667,-0.411878
35.075,-0.412886
35.5833,-0.413891
36.0917,-0.414884
36.6,-0.415849
37.1083,-0.416789
37.6167,-0.417731
38.125,-0.418695
38.6333,-0.419662
39.1417,-0.420594
39.65,-0.421475
40.1583,-0.422322
40.6667,-0.423165
41.175,-0.42402
41.6833,-0.424885
42.1917,-0.425755
42.7,-0.426626
43.2083,-0.427501
43.7167,-0.428384
44.225,-0.429269
44.7333,-0.430146
45.2417,-0.431009
45.75,-0.431857
46.2583,-0.432691
46.7667,-0.433515
47.275,-0.434332
47.7833,-0.435143
48.2917,-0.435947
48.8,-0.436741
49.3083,-0.437525
49.8167,-0.438298
50.325,-0.439061
50.8333,-0.439808
51.3417,-0.440539
51.85,-0.441266
52.3583,-0.441999
52.8667,-0.442742
53.375,-0.443491
53.8833,-0.444242
54.3917,-0.444996
54.9,-0.445751
55.4083,-0.446498
55.9167,-0.447227
56.425,-0.447932
56.9333,-0.448615
57.4417,-0.449281
57.95,-0.449939
58.4583,-0.4506
58.9667,-0.451268
59.475,-0.451935
59.9833,-0.45259
60.4917,-0.453235
61.0,-0.453879
61.5083,-0.454535
62.0167,-0.4552
62.525,-0.455858
63.0333,-0.456495
63.5417,-0.45712
64.05,-0.45775
64.5583,-0.458388
65.0667,-0.459023
65.575,-0.459647
66.0833,-0.460263
66.5917,-0.460872
67.1,-0.46147
67.6083,-0.462062
68.1167,-0.462668
68.625,-0.463293
69.1333,-0.463918
69.6417,-0.464521
70.15,-0.465104
70.6583,-0.465678
71.1667,-0.466243
71.675,-0.46681
72.1833,-0.467393
72.6917,-0.46799
73.2,-0.468583
73.7083,-0.469167
74.2167,-0.469746
74.725,-0.470318
75.2333,-0.470877
75.7417,-0.471439
76.25,-0.472009
76.7583,-0.472558
77.2667,-0.473076
77.775,-0.473584
78.2833,-0.474104
78.7917,-0.474642
79.3,-0.475191
79.8083,-0.47574
80.3167,-0.47629
80.825,-0.476841
81.3333,-0.477385
81.8417,-0.477921
82.35,-0.478454
82.8583,-0.478983
83.3667,-0.479513
83.875,-0.480047
84.3833,-0.480576
84.8917,-0.4811
85.4,-0.481626
85.9083,-0.482144
86.4167,-0.482652
86.925,-0.483156
87.4333,-0.483657
87.9417,-0.484153
88.45,-0.484642
88.9583,-0.485117
89.4667,-0.485584
89.975,-0.486061
90.4833,-0.486552
90.9917,-0.487035
91.5,-0.487501
92.0083,-0.487955
92.5167,-0.488391
93.025,-0.488814
93.5333,-0.489254
94.0417,-0.489715
94.55,-0.490166
95.058,-0.490591
95.567,-0.491012
96.075,-0.491442
96.583,-0.491867
97.092,-0.492281
97.6,-0.492696
98.108,-0.493113
98.617,-0.49353
99.125,-0.493964
99.633,-0.494411
100.142,-0.494838
100.65,-0.495236
101.158,-0.495647
101.667,-0.496091
102.175,-0.496547
102.683,-0.497001
103.192,-0.497454
103.7,-0.497888
104.208,-0.498284
104.717,-0.498652
105.225,-0.499028
105.733,-0.499432
106.242,-0.499854
106.75,-0.50028
107.258,-0.5007
107.767,-0.501113
108.275,-0.501519
108.783,-0.50192
109.292,-0.50232
109.8,-0.502717
110.308,-0.503106
110.817,-0.503489
111.325,-0.503871
111.833,-0.504253
112.342,-0.504625
112.85,-0.504983
113.358,-0.505335
113.867,-0.505688
114.375,-0.50604
114.883,-0.506389
115.392,-0.506744
115.9,-0.507113
116.408,-0.507493
116.917,-0.50787
117.425,-0.508243
117.933,-0.508626
118.442,-0.509025
118.95,-0.509418
119.458,-0.509803
119.967,-0.5102
120.475,-0.510616
120.983,-0.511035
121.492,-0.511445
122.0,-0.511854
122.508,-0.512269
123.017,-0.512686
123.525,-0.513103
124.033,-0.513523
124.542,-0.513938
125.05,-0.514351
125.558,-0.514781
126.067,-0.515235
126.575,-0.515683
127.083,-0.516113
127.592,-0.516546
128.1,-0.516992
128.608,-0.517433
129.117,-0.517858
129.625,-0.518277
130.133,-0.518689
130.642,-0.519086
131.15,-0.519473
131.658,-0.51986
132.167,-0.520245
132.675,-0.520608
133.183,-0.520954
133.692,-0.521313
134.2,-0.521693
134.708,-0.52207
135.217,-0.522433
135.725,-0.522802
136.233,-0.523188
136.742,-0.523557
137.25,-0.52387
137.758,-0.52414
138.267,-0.524419
138.775,-0.524738
139.283,-0.525086
139.792,-0.525436
140.3,-0.525775
140.808,-0.526108
141.317,-0.526441
141.825,-0.526776
142.333,-0.527108
142.842,-0.527436
143.35,-0.527763
143.858,-0.528096
144.367,-0.52843
144.875,-0.528764
145.383,-0.529104
145.892,-0.529455
146.4,-0.529812
146.908,-0.530163
147.417,-0.530501
147.925,-0.530839
148.433,-0.531187
148.942,-0.531546
149.45,-0.531904
149.958,-0.532257
150.467,-0.532612
150.975,-0.532964
151.483,-0.533298
151.992,-0.533609
152.5,-0.533917
153.008,-0.534242
153.517,-0.534578
154.025,-0.534901
154.533,-0.535204
155.042,-0.535499
155.55,-0.535804
156.058,-0.536121
156.567,-0.536432
157.075,-0.536715
157.583,-0.536973
158.092,-0.53724
158.6,-0.537544
159.108,-0.537871
159.617,-0.538181
160.125,-0.538461
160.633,-0.538734
161.142,-0.539026
161.65,-0.539338
162.158,-0.53965
162.667,-0.539943
163.175,-0.540219
163.683,-0.540506
164.192,-0.54082
164.7,-0.541149
165.208,-0.541457
165.717,-0.541742
166.225,-0.542037
166.733,-0.542367
167.242,-0.542718
167.75,-0.54305
168.258,-0.543356
168.767,-0.543669
169.275,-0.544013
169.783,-0.544364
170.292,-0.544686
170.8,-0.544983
