OCP04
T,Vf
0.508333,0.40986
1.01667,0.405993
1.525,0.380654
2.03333,0.307214
2.54167,0.18156
3.05,0.0371512
3.55833,-0.084916
4.06667,-0.167238
4.575,-0.215088
5.08333,-0.241201
5.59167,-0.256269
6.1,-0.266596
6.60833,-0.27505
7.11667,-0.282627
7.625,-0.289574
8.13333,-0.295959
8.64167,-0.301842
9.15,-0.307279
9.6583,-0.312306
10.1667,-0.316947
10.675,-0.321232
11.1833,-0.325199
11.6917,-0.328884
12.2,-0.332315
12.7083,-0.335529
13.2167,-0.338568
13.725,-0.341449
14.2333,-0.344154
14.7417,-0.346681
15.25,-0.349069
15.7583,-0.351364
16.2667,-0.353587
16.775,-0.355744
17.2833,-0.357846
17.7917,-0.359901
18.3,-0.361896
18.8083,-0.363819
19.3167,-0.365687
19.825,-0.367512
20.3333,-0.369287
20.8417,-0.371012
21.35,-0.372703
21.8583,-0.374367
22.3667,-0.376001
22.875,-0.377598
23.3833,-0.379155
23.8917,-0.380669
24.4,-0.382141
24.9083,-0.383584
25.4167,-0.385023
25.925,-0.386461
26.4333,-0.387868
26.9417,-0.389208
27.45,-0.390481
27.9583,-0.391727
28.4667,-0.392969
28.975,-0.394175
29.4833,-0.395311
29.9917,-0.396395
30.5,-0.397464
31.0083,-0.398533
31.5167,-0.399596
32.025,-0.40064
32.5333,-0.401663
33.0417,-0.402673
33.55,-0.403669
34.0583,-0.404638
34.5667,-0.405575
35.075,-0.406487
35.5833,-0.407381
36.0917,-0.408267
36.6,-0.409155
37.1083,-0.410039
37.6167,-0.410912
38.125,-0.41177
38.6333,-0.412617
39.1417,-0.413455
39.65,-0.414277
40.1583,-0.415085
40.6667,-0.415889
41.175,-0.416692
41.6833,-0.417492
42.1917,-0.418286
42.7,-0.419064
43.2083,-0.419814
43.7167,-0.420523
44.225,-0.421188
44.7333,-0.421828
45.2417,-0.422479
45.75,-0.42316
46.2583,-0.423859
46.7667,-0.424556
47.275,-0.425243
47.7833,-0.425924
48.2917,-0.426603
48.8,-0.427281
49.3083,-0.427946
49.8167,-0.428591
50.325,-0.429223
50.8333,-0.429861
51.3417,-0.430512
51.85,-0.431172
52.3583,-0.431827
52.8667,-0.432464
53.375,-0.433093
53.8833,-0.433727
54.3917,-0.434365
54.9,-0.435
55.4083,-0.43563
55.9167,-0.436262
56.425,-0.436904
56.9333,-0.437554
57.4417,-0.438202
57.95,-0.438839
58.4583,-0.439469
58.9667,-0.440094
59.475,-0.440716
59.9833,-0.441338
60.4917,-0.441963
61.0,-0.442594
61.5083,-0.443233
62.0167,-0.44387
62.525,-0.444499
63.0333,-0.44512
63.5417,-0.445746
64.05,-0.446368
64.5583,-0.446958
65.0667,-0.447513
65.575,-0.448062
66.0833,-0.448618
66.5917,-0.449179
67.1,-0.449743
67.6083,-0.450304
68.1167,-0.450859
68.625,-0.451411
69.1333,-0.451961
69.6417,-0.45251
70.15,-0.453061
70.6583,-0.453609
71.1667,-0.454149
71.675,-0.45468
72.1833,-0.4552
72.6917,-0.455709
73.2,-0.4562
73.7083,-0.456672
74.2167,-0.457151
74.725,-0.457653
75.2333,-0.458161
75.7417,-0.458672
76.25,-0.459191
76.7583,-0.459713
77.2667,-0.460229
77.775,-0.460742
78.2833,-0.461254
78.7917,-0.461769
79.3,-0.462288
79.8083,-0.462809
80.3167,-0.463336
80.825,-0.46387
81.3333,-0.464409
81.8417,-0.464955
82.35,-0.465498
82.8583,-0.466019
83.3667,-0.466512
83.875,-0.466992
84.3833,-0.467467
84.8917,-0.467936
85.4,-0.468413
85.9083,-0.468902
86.4167,-0.469385
86.925,-0.469851
87.4333,-0.470305
87.9417,-0.470742
88.45,-0.471169
88.9583,-0.471608
89.4667,-0.472056
89.975,-0.47247
90.4833,-0.472836
90.9917,-0.47319
91.5,-0.473568
92.0083,-0.473969
92.5167,-0.474384
93.025,-0.474807
93.5333,-0.475232
94.0417,-0.475655
94.55,-0.476078
95.058,-0.476508
95.567,-0.476941
96.075,-0.47736
96.583,-0.47776
97.092,-0.478153
97.6,-0.478545
98.108,-0.478932
98.617,-0.47931
99.125,-0.47969
99.633,-0.480074
100.142,-0.480449
100.65,-0.480812
101.158,-0.481174
101.667,-0.481546
102.175,-0.481925
102.683,-0.482299
103.192,-0.482664
103.7,-0.483031
104.208,-0.483395
104.717,-0.483735
105.225,-0.48405
105.733,-0.484367
106.242,-0.484713
106.75,-0.485078
107.258,-0.485427
107.767,-0.485746
108.275,-0.486063
108.783,-0.486405
109.292,-0.486774
109.8,-0.487167
110.308,-0.4876
110.817,-0.488065
111.325,-0.488518
111.833,-0.488936
112.342,-0.489346
112.85,-0.489763
113.358,-0.490155
113.867,-0.490517
114.375,-0.49089
114.883,-0.491297
115.392,-0.491699
115.9,-0.492079
116.408,-0.492468
116.917,-0.492878
117.425,-0.493272
117.933,-0.493633
118.442,-0.493995
118.95,-0.494381
119.458,-0.494771
119.967,-0.495149
120.475,-0.495532
120.983,-0.495932
121.492,-0.496321
122.0,-0.496671
122.508,-0.496993
123.017,-0.497317
123.525,-0.497655
124.033,-0.497984
124.542,-0.498267
125.05,-0.498502
125.558,-0.498715
126.067,-0.498927
126.575,-0.49914
127.083,-0.499368
127.592,-0.499629
128.1,-0.499927
128.608,-0.500242
129.117,-0.500554
129.625,-0.500863
130.133,-0.501173
130.642,-0.501489
131.15,-0.501812
131.658,-0.502142
132.167,-0.502477
132.675,-0.502812
133.183,-0.503144
133.692,-0.503478
134.2,-0.503821
134.708,-0.504167
135.217,-0.504496
135.725,-0.504806
136.233,-0.505108
136.742,-0.505412
137.25,-0.505718
137.758,-0.506027
138.267,-0.506337
138.775,-0.506653
139.283,-0.506989
139.792,-0.507346
140.3,-0.507699
140.808,-0.508038
141.317,-0.508376
141.825,-0.508732
142.333,-0.509101
142.842,-0.509455
143.35,-0.509775
143.858,-0.510077
144.367,-0.510384
144.875,-0.510696
145.383,-0.510986
145.892,-0.511238
146.4,-0.51147
146.908,-0.511715
147.417,-0.511989
147.925,-0.512284
148.433,-0.512568
148.942,-0.512824
149.45,-0.513067
149.958,-0.513321
150.467,-0.513599
150.975,-0.513892
151.483,-0.514177
151.992,-0.514448
152.5,-0.51473
153.008,-0.515049
153.517,-0.515397
154.025,-0.515739
154.533,-0.516064
155.042,-0.516394
155.55,-0.516744
156.058,-0.517098
156.567,-0.517425
157.075,-0.517731
157.583,-0.518059
158.092,-0.518427
158.6,-0.518805
159.108,-0.519152
159.617,-0.519478
160.125,-0.519824
160.633,-0.520194
161.142,-0.520548
161.65,-0.520872
162.158,-0.521196
162.667,-0.521542
163.175,-0.521892
163.683,-0.522221
164.192,-0.522538
164.7,-0.522871
165.208,-0.523224
165.717,-0.523566
166.225,-0.523854
166.733,-0.524086
167.242,-0.524306
167.75,-0.524559
168.258,-0.524857
168.767,-0.525176
169.275,-0.525488
169.783,-0.525787
170.292,-0.52608
170.8,-0.526375
171.308,-0.526671
171.817,-0.52696
172.325,-0.527243
172.833,-0.527528
173.342,-0.527817
173.85,-0.528106
174.358,-0.528394
174.867,-0.528672
175.375,-0.528942
175.883,-0.529217
176.392,-0.529508
176.9,-0.52981
177.408,-0.530108
177.917,-0.530398
178.425,-0.530687
178.933,-0.53098
179.442,-0.53128
179.95,-0.53158
180.458,-0.53187
180.967,-0.532147
181.475,-0.532427
181.983,-0.532726
182.492,-0.533038
183.0,-0.53334
183.508,-0.533616
184.017,-0.533878
184.525,-0.534145
185.033,-0.534429
185.542,-0.534726
186.05,-0.53501
186.558,-0.535273
187.067,-0.535534
187.575,-0.535808
188.083,-0.536099
188.592,-0.536397
189.1,-0.536677
189.608,-0.536932
190.117,-0.53719
190.625,-0.53747
191.133,-0.537766
191.642,-0.538054
192.15,-0.538308
192.658,-0.538535
193.167,-0.538772
193.675,-0.539043
194.183,-0.539341
194.692,-0.53964
195.2,-0.539909
195.708,-0.540154
196.217,-0.540406
196.725,-0.540684
197.233,-0.540978
197.742,-0.541265
198.25,-0.541522
198.758,-0.541758
199.267,-0.542005
199.775,-0.542285
200.283,-0.542588
200.792,-0.542881
201.3,-0.543128
201.808,-0.543318
202.317,-0.543485
202.825,-0.543693
203.333,-0.543973
203.842,-0.544294
204.35,-0.54459
204.858,-0.544829
205.367,-0.54504
205.875,-0.545285
206.383,-0.545589
206.892,-0.545916
207.4,-0.546212
207.908,-0.546473
208.417,-0.546741
208.925,-0.547044
209.433,-0.547367
209.942,-0.547671
210.45,-0.54794
210.958,-0.548205
211.467,-0.548501
211.975,-0.548829
212.483,-0.549155
212.992,-0.549428
213.5,-0.549626
214.008,-0.549764
214.517,-0.549882
215.025,-0.550021
215.533,-0.550192
216.042,-0.550372
216.55,-0.550526
217.058,-0.550648
217.567,-0.550756
218.075,-0.550873
218.583,-0.551
219.092,-0.551125
219.6,-0.551245
220.108,-0.551371
220.617,-0.551518
221.125,-0.551687
221.633,-0.551865
222.142,-0.552035
222.65,-0.552193
223.158,-0.552349
223.667,-0.552515
224.175,-0.552692
224.683,-0.552873
225.192,-0.553055
225.7,-0.553237
226.208,-0.553416
226.717,-0.553592
227.225,-0.553774
227.733,-0.553974
228.242,-0.554179
228.75,-0.554369
229.258,-0.554546
229.767,-0.554723
230.275,-0.554905
230.783,-0.555087
231.292,-0.55527
231.8,-0.555462
232.308,-0.555661
232.817,-0.555855
233.325,-0.556042
233.833,-0.556228
234.342,-0.556424
234.85,-0.55662
235.358,-0.556807
235.867,-0.55699
236.375,-0.557181
236.883,-0.557376
237.392,-0.557553
237.9,-0.557712
238.408,-0.557869
238.917,-0.558041
239.425,-0.558222
239.933,-0.558394
240.442,-0.558553
240.95,-0.558716
241.458,-0.558896
241.967,-0.559076
242.475,-0.559234
242.983,-0.55937
243.492,-0.559505
244.0,-0.559664
244.508,-0.559847
245.017,-0.560043
245.525,-0.560251
246.033,-0.560467
246.542,-0.560673
247.05,-0.560849
247.558,-0.56101
248.067,-0.561186
248.575,-0.561383
249.083,-0.561582
249.592,-0.561786
250.1,-0.562005
250.608,-0.562226
251.117,-0.562416
