OCP05
T,Vf
0.508333,0.370346
1.01667,0.363308
1.525,0.324252
2.03333,0.228447
2.54167,0.0884669
3.05,-0.0516052
3.55833,-0.156889
4.06667,-0.220414
4.575,-0.253225
5.08333,-0.269555
5.59167,-0.279151
6.1,-0.286623
6.60833,-0.293452
7.11667,-0.299849
7.625,-0.305727
8.13333,-0.311042
8.64167,-0.315837
9.15,-0.320199
9.6583,-0.324208
10.1667,-0.327923
10.675,-0.331371
11.1833,-0.33457
11.6917,-0.337546
12.2,-0.340336
12.7083,-0.342971
13.2167,-0.345473
13.725,-0.347863
14.2333,-0.350146
14.7417,-0.352319
15.25,-0.35439
15.7583,-0.356384
16.2667,-0.358322
16.775,-0.360208
17.2833,-0.362035
17.7917,-0.36379
18.3,-0.365473
18.8083,-0.367093
19.3167,-0.368646
19.825,-0.370118
20.3333,-0.371525
20.8417,-0.372906
21.35,-0.374284
21.8583,-0.375664
22.3667,-0.377052
22.875,-0.378432
23.3833,-0.379777
23.8917,-0.381068
24.4,-0.382321
24.9083,-0.383571
25.4167,-0.384825
25.925,-0.386052
26.4333,-0.387241
26.9417,-0.388421
27.45,-0.389607
27.9583,-0.390779
28.4667,-0.391933
28.975,-0.393076
29.4833,-0.394193
29.9917,-0.395258
30.5,-0.39628
31.0083,-0.397288
31.5167,-0.398293
32.025,-0.399294
32.5333,-0.400291
33.0417,-0.401283
33.55,-0.402258
34.0583,-0.403208
34.5667,-0.404141
35.075,-0.405079
35.5833,-0.406031
36.0917,-0.406982
36.6,-0.407908
37.1083,-0.408805
37.6167,-0.409677
38.125,-0.410533
38.6333,-0.411383
39.1417,-0.412231
39.65,-0.41308
40.1583,-0.41393
40.6667,-0.414778
41.175,-0.41563
41.6833,-0.416489
42.1917,-0.417343
42.7,-0.418178
43.2083,-0.418988
43.7167,-0.419776
44.225,-0.420529
44.7333,-0.421223
45.2417,-0.421862
45.75,-0.422481
46.2583,-0.423108
46.7667,-0.423742
47.275,-0.424379
47.7833,-0.425021
48.2917,-0.42567
48.8,-0.426316
49.3083,-0.426954
49.8167,-0.427589
50.325,-0.428232
50.8333,-0.428892
51.3417,-0.429565
51.85,-0.430233
52.3583,-0.430886
52.8667,-0.431534
53.375,-0.432201
53.8833,-0.432889
54.3917,-0.433581
54.9,-0.434254
55.4083,-0.434911
55.9167,-0.435565
56.425,-0.436231
56.9333,-0.436914
57.4417,-0.437608
57.95,-0.438295
58.4583,-0.438953
58.9667,-0.439594
59.475,-0.440245
59.9833,-0.440913
60.4917,-0.441581
61.0,-0.442226
61.5083,-0.442851
62.0167,-0.443476
62.525,-0.444114
63.0333,-0.444751
63.5417,-0.44536
64.05,-0.445939
64.5583,-0.446496
65.0667,-0.447033
65.575,-0.447568
66.0833,-0.448119
66.5917,-0.448683
67.1,-0.449246
67.6083,-0.449804
68.1167,-0.450356
68.625,-0.450902
69.1333,-0.451447
69.6417,-0.451991
70.15,-0.452532
70.6583,-0.45307
71.1667,-0.453604
71.675,-0.454133
72.1833,-0.454658
72.6917,-0.455181
73.2,-0.455702
73.7083,-0.456217
74.2167,-0.456727
74.725,-0.457242
75.2333,-0.457759
75.7417,-0.458267
76.25,-0.458777
76.7583,-0.459295
77.2667,-0.459808
77.775,-0.460312
78.2833,-0.460813
78.7917,-0.461304
79.3,-0.461782
79.8083,-0.462249
80.3167,-0.462707
80.825,-0.463163
81.3333,-0.46364
81.8417,-0.464139
82.35,-0.46464
82.8583,-0.46514
83.3667,-0.465645
83.875,-0.46614
84.3833,-0.466622
84.8917,-0.467101
85.4,-0.467583
85.9083,-0.468069
86.4167,-0.468554
86.925,-0.469031
87.4333,-0.469498
87.9417,-0.469976
88.45,-0.470473
88.9583,-0.470979
89.4667,-0.4715
89.975,-0.472029
90.4833,-0.472526
90.9917,-0.472974
91.5,-0.473411
92.0083,-0.473872
92.5167,-0.47436
93.025,-0.474864
93.5333,-0.475372
94.0417,-0.475875
94.55,-0.476376
95.058,-0.476876
95.567,-0.477364
96.075,-0.477835
96.583,-0.478294
97.092,-0.478746
97.6,-0.4792
98.108,-0.479666
98.617,-0.480138
99.125,-0.480593
99.633,-0.48102
100.142,-0.481434
100.65,-0.481842
101.158,-0.482232
101.667,-0.482595
102.175,-0.482942
102.683,-0.483283
103.192,-0.483615
103.7,-0.483929
104.208,-0.484225
104.717,-0.484517
105.225,-0.484818
105.733,-0.485126
106.242,-0.485413
106.75,-0.485662
107.258,-0.485894
107.767,-0.486141
108.275,-0.486419
108.783,-0.486714
109.292,-0.486995
109.8,-0.487251
110.308,-0.487504
110.817,-0.48779
111.325,-0.488113
111.833,-0.488449
112.342,-0.488783
112.85,-0.489123
113.358,-0.489487
113.867,-0.489866
114.375,-0.49023
114.883,-0.490578
115.392,-0.490944
115.9,-0.491336
116.408,-0.491713
116.917,-0.492048
117.425,-0.492372
117.933,-0.49272
118.442,-0.493094
118.95,-0.493464
119.458,-0.493824
119.967,-0.4942
120.475,-0.494595
120.983,-0.494973
121.492,-0.495323
122.0,-0.495692
122.508,-0.496102
123.017,-0.496521
123.525,-0.496925
124.033,-0.49733
124.542,-0.497739
125.05,-0.498117
125.558,-0.49845
126.067,-0.498772
126.575,-0.499121
127.083,-0.4995
127.592,-0.499897
128.1,-0.500298
128.608,-0.500701
129.117,-0.501104
129.625,-0.501505
130.133,-0.501904
130.642,-0.502302
131.15,-0.502698
131.658,-0.503086
132.167,-0.503464
132.675,-0.503843
133.183,-0.504225
133.692,-0.504603
134.2,-0.504973
134.708,-0.50534
135.217,-0.505706
135.725,-0.50606
136.233,-0.506396
136.742,-0.506725
137.25,-0.507063
137.758,-0.507404
138.267,-0.507729
138.775,-0.508033
139.283,-0.508338
139.792,-0.508661
140.3,-0.508993
140.808,-0.50931
141.317,-0.509602
141.825,-0.509887
142.333,-0.510186
142.842,-0.510503
143.35,-0.510822
143.858,-0.511121
144.367,-0.511404
144.875,-0.511705
145.383,-0.512039
145.892,-0.512388
146.4,-0.512726
146.908,-0.513057
147.417,-0.513403
147.925,-0.513762
148.433,-0.514105
148.942,-0.514413
149.45,-0.514709
149.958,-0.515035
150.467,-0.515391
150.975,-0.515738
151.483,-0.516061
151.992,-0.516384
152.5,-0.516726
153.008,-0.517074
153.517,-0.517396
154.025,-0.517687
154.533,-0.517981
155.042,-0.518312
155.55,-0.518669
156.058,-0.519013
156.567,-0.519338
157.075,-0.519674
157.583,-0.520036
158.092,-0.520394
158.6,-0.520712
159.108,-0.521002
159.617,-0.521296
160.125,-0.521611
160.633,-0.521929
161.142,-0.522221
161.65,-0.522505
162.158,-0.52283
162.667,-0.523207
163.175,-0.523578
163.683,-0.523885
164.192,-0.524138
164.7,-0.524388
165.208,-0.524659
165.717,-0.524944
166.225,-0.525228
166.733,-0.525498
167.242,-0.525756
167.75,-0.526005
168.258,-0.526239
168.767,-0.526451
169.275,-0.526655
169.783,-0.526862
170.292,-0.527073
170.8,-0.527295
171.308,-0.527534
171.817,-0.527785
172.325,-0.528048
172.833,-0.528317
173.342,-0.528576
173.85,-0.528813
174.358,-0.529046
174.867,-0.529297
175.375,-0.529569
175.883,-0.529848
176.392,-0.530119
176.9,-0.530373
177.408,-0.530617
177.917,-0.530859
178.425,-0.5311
178.933,-0.531345
179.442,-0.531598
179.95,-0.53185
180.458,-0.532091
180.967,-0.532332
181.475,-0.532587
181.983,-0.532859
182.492,-0.533145
183.0,-0.533424
183.508,-0.533687
184.017,-0.533954
184.525,-0.534238
185.033,-0.534532
185.542,-0.534824
186.05,-0.535094
186.558,-0.53534
187.067,-0.535588
187.575,-0.535867
188.083,-0.536176
188.592,-0.536488
189.1,-0.536777
189.608,-0.537049
190.117,-0.537323
190.625,-0.537622
191.133,-0.537956
191.642,-0.538322
192.15,-0.538708
192.658,-0.539102
193.167,-0.539489
193.675,-0.539849
194.183,-0.540192
194.692,-0.540552
195.2,-0.540937
195.708,-0.541304
196.217,-0.541634
196.725,-0.541958
197.233,-0.54231
197.742,-0.542678
198.25,-0.543015
198.758,-0.5433
199.267,-0.543572
199.775,-0.543881
200.283,-0.544226
200.792,-0.544562
201.3,-0.544868
201.808,-0.54517
202.317,-0.545496
202.825,-0.545836
203.333,-0.546146
203.842,-0.546408
204.35,-0.546649
204.858,-0.546915
205.367,-0.547215
205.875,-0.54752
206.383,-0.547792
206.892,-0.548036
207.4,-0.548289
207.908,-0.548569
208.417,-0.548873
208.925,-0.549184
209.433,-0.549479
209.942,-0.54976
210.45,-0.550062
210.958,-0.550404
211.467,-0.550769
211.975,-0.551132
212.483,-0.55148
212.992,-0.551811
213.5,-0.552139
214.008,-0.552472
214.517,-0.552813
215.025,-0.553158
215.533,-0.553499
216.042,-0.553826
216.55,-0.554135
217.058,-0.554431
217.567,-0.554719
218.075,-0.554999
218.583,-0.555271
219.092,-0.555539
219.6,-0.555795
220.108,-0.556029
220.617,-0.55625
221.125,-0.556477
221.633,-0.556697
222.142,-0.556886
222.65,-0.55705
223.158,-0.557213
223.667,-0.557384
224.175,-0.557555
224.683,-0.557729
225.192,-0.557916
225.7,-0.558111
226.208,-0.558298
226.717,-0.558468
227.225,-0.558636
227.733,-0.558818
228.242,-0.559006
228.75,-0.559182
229.258,-0.559344
229.767,-0.559516
230.275,-0.55972
230.783,-0.559961
231.292,-0.560228
231.8,-0.560487
232.308,-0.560707
232.817,-0.560884
233.325,-0.561048
233.833,-0.561233
234.342,-0.561451
234.85,-0.5617
235.358,-0.561979
235.867,-0.562272
236.375,-0.562564
236.883,-0.562871
237.392,-0.563204
237.9,-0.563553
238.408,-0.56389
238.917,-0.564209
239.425,-0.564531
239.933,-0.564873
240.442,-0.565216
240.95,-0.565526
241.458,-0.565798
241.967,-0.56606
242.475,-0.566338
242.983,-0.566631
243.492,-0.566918
244.0,-0.567189
244.508,-0.567458
245.017,-0.56775
245.525,-0.568076
246.033,-0.568409
246.542,-0.568711
247.05,-0.568981
247.558,-0.569257
248.067,-0.569569
248.575,-0.569901
249.083,-0.570218
249.592,-0.570516
250.1,-0.570822
250.608,-0.571149
251.117,-0.571481
251.625,-0.571778
252.133,-0.572025
252.642,-0.572254
253.15,-0.572504
253.658,-0.572788
254.167,-0.573084
254.675,-0.573348
255.183,-0.573557
255.692,-0.573734
256.2,-0.573907
256.708,-0.57408
257.217,-0.57424
257.725,-0.574399
258.233,-0.574586
258.742,-0.574804
259.25,-0.57501
259.758,-0.575165
260.267,-0.57527
260.775,-0.575345
261.283,-0.575415
261.792,-0.575513
262.3,-0.575668
262.808,-0.575871
263.317,-0.576092
263.825,-0.576317
264.333,-0.576537
264.842,-0.576749
265.35,-0.576968
265.858,-0.577223
266.367,-0.577527
266.875,-0.577869
267.383,-0.578223
267.892,-0.578574
268.4,-0.578908
268.908,-0.579179
269.417,-0.579338
269.925,-0.579413
270.433,-0.579492
270.942,-0.579645
271.45,-0.579852
271.958,-0.580049
272.467,-0.58021
272.975,-0.580361
273.483,-0.580521
273.992,-0.580694
274.5,-0.580894
275.008,-0.581126
275.517,-0.581366
276.025,-0.581583
276.533,-0.581788
277.042,-0.582005
277.55,-0.582251
278.058,-0.582522
278.567,-0.582799
279.075,-0.583055
279.583,-0.583287
280.092,-0.583499
280.6,-0.583691
281.108,-0.583866
281.617,-0.584035
282.125,-0.584217
282.633,-0.584428
283.142,-0.584651
283.65,-0.584857
284.158,-0.585052
284.667,-0.585268
285.175,-0.585507
285.683,-0.58574
286.192,-0.585917
286.7,-0.585987
287.208,-0.585953
287.717,-0.585896
288.225,-0.585921
288.733,-0.586093
289.242,-0.586387
289.75,-0.586713
290.258,-0.587
290.767,-0.58723
291.275,-0.587432
291.783,-0.587643
292.292,-0.587871
292.8,-0.588107
293.308,-0.588336
293.817,-0.588529
294.325,-0.588678
294.833,-0.588816
295.342,-0.588996
295.85,-0.589238
296.358,-0.589497
296.867,-0.589724
297.375,-0.589925
297.883,-0.590133
298.392,-0.590363
298.9,-0.590614
299.408,-0.590877
299.917,-0.591116
300.425,-0.591297
300.933,-0.591425
301.442,-0.591537
301.95,-0.591664
302.458,-0.591815
302.967,-0.591989
303.475,-0.592187
303.983,-0.592413
304.492,-0.592642
305.0,-0.592832
305.508,-0.59297
306.017,-0.593091
306.525,-0.593233
307.033,-0.593384
307.542,-0.593496
